检查主体,检查类别,检查单号,检查日期,被检查单位或个人名称,检查结果
北京市民政局,行政检查,202205S005,2022.3.26,北京市昌平区佛山陵园,合格
北京市民政局,行政检查,202205S006,2022.3.26,北京天寿陵园有限公司,合格
北京市民政局,行政检查,202202004,2022.3.27,北京思亲园园艺有限公司,合格
北京市民政局,行政检查,GM20020404,2022.3.27,北京八宝山礼仪有限公司人民公墓,合格
北京市民政局,行政检查,GM20020405,2022.3.27,北京市门头沟区天山陵园,合格
北京市民政局,行政检查,GM20020406,2022.3.27,北京市八宝山革命公墓,合格
北京市民政局,行政检查,202205S007,2022.3.27,北京市昌平区炎黄陵园,合格
北京市民政局,行政检查,202205S08,2022.4.2,董某某（彩票网点编号11108057）,合格
北京市民政局,行政检查,202205S09,2022.4.2,邓某（彩票网点编号11108051）,合格
北京市民政局,行政检查,GM20220407,2022.4.3,北京市八宝山殡仪馆,合格
北京市民政局,行政检查,20220100010,2022.4.12,张某（彩票网点编号11106155）,合格
北京市民政局,行政检查,20220100011,2022.4.12,戴某（彩票网点编号11126017）,合格
北京市民政局,行政检查,20220100009,2022.4.12,李某某（彩票网点编号11126036）,合格
北京市民政局,行政检查,2022FC01,2022.4.21,王某某（彩票网点编号11111057）,合格
北京市民政局,行政检查,2022FC02,2022.4.21,王某某（彩票网点编号11111050）,合格
北京市民政局,行政检查,2022FC03,2022.4.21,李某某（彩票网点编号11151008）,合格
北京市民政局,行政检查,2022FC04,2022.4.21,黄某某（彩票网点编号11131510）,合格
北京市民政局,行政检查,202203JC001,2022.4.22,田某某（彩票网点编号11142014）,合格
北京市民政局,行政检查,202203JC002,2022.4.22,郭某（彩票网点编号11126036）,合格
北京市民政局,行政检查,202203JC003,2022.4.22,贾某（彩票网点编号11167020）,合格
北京市民政局,行政检查,202203JC004,2022.4.22,杨某某（彩票网点编号11124509）,合格
北京市民政局,行政检查,202203JC005,2022.4.22,孙某（彩票网点编号11164010）,合格
北京市民政局,行政检查,2022FC05,2022.4.22,吉某某（彩票网点编号11101609）,合格
北京市民政局,行政检查,2022FC06,2022.4.22,延某（彩票网点编号11121001）,合格
北京市民政局,行政检查,2022070005,2022.6.8,北京立言金融与发展研究院,合格
北京市民政局,行政检查,2022070006,2022.6.22,北京毅恒挚友大学生志愿服务促进中心,合格
北京市民政局,行政检查,20220100012,2022.07.07,路某（彩票网点编号11306036）,合格
北京市民政局,行政检查,20220100013,2022.07.07,王某某（彩票网点编号11106215）,合格
北京市民政局,行政检查,20220100014,2022.07.07,徐某某（彩票网点编号11126506）,合格
北京市民政局,行政检查,202202F001,2022.07.07,白某（彩票网点编号11127502）,合格
北京市民政局,行政检查,202202F002,2022.07.07,张某某（彩票网点编号11107172）,合格
北京市民政局,行政检查,202202F003,2022.07.07,何某某（彩票网点编号11107315）,合格
北京市民政局,行政检查,202202F004,2022.07.07,张某（彩票网点编号11147035）,合格
北京市民政局,行政检查,202202F005,2022.07.07,张某（彩票网点编号11147062）,合格
北京市民政局,行政检查,202202F006,2022.07.07,贾某（彩票网点编号11107110）,合格
北京市民政局,行政检查,2022070007,2022.07.07,北京畜牧兽医学会,合格
北京市民政局,行政检查,2022070008,2022.07.07,北京水利学会,合格
北京市民政局,行政检查,2022S03JC001,2022.07.18,北京市天佑兰亭书法文化博物馆,不合格
北京市民政局,行政检查,202202MF005,2022.07.20,北京心田应急救援安全促进中心,合格
北京市民政局,行政检查,202202MF006,2022.07.20,中关村睿宸卫星创新应用研究院,合格
北京市民政局,行政检查,202202MF007,2022.07.20,北京京瓦农业科技创新中心,合格
北京市民政局,行政检查,2022S03JC002,2022.07.20,北京江西进贤企业商会,合格
北京市民政局,行政检查,2022S03JC003,2022.07.20,北京佛山企业商会,合格
北京市民政局,行政检查,2022070009,2022.07.20,北京中智生物农业国际研究院,合格
北京市民政局,行政检查,20220100015,2022.07.22,北京淮南企业商会,合格
北京市民政局,行政检查,20220100016,2022.07.22,北京通信学会,合格
北京市民政局,行政检查,2022070010,2022.07.22,京冀线1,合格
北京市民政局,行政检查,2022070014,2022.07.22,京津冀线2,合格
北京市民政局,行政检查,20220100017,2022.07.26,北京真空学会,合格
北京市民政局,行政检查,20220100018,2022.07.26,北京开源芯片研究院,合格
北京市民政局,行政检查,202202006,2022.07.26,北京气象学会,合格
北京市民政局,行政检查,202202007,2022.07.27,北京知识产权研究会,合格
北京市民政局,行政检查,2022S03JC004,2022.07.27,北京湖北天门企业商会,合格
北京市民政局,行政检查,2022070012,2022.07.27,丁某某（彩票网点编号11113012）,合格
北京市民政局,行政检查,2022070011,2022.07.27,京冀线15,合格
北京市民政局,行政检查,2022070013,2022.07.27,赵某某（彩票网点编号11113001）,合格
北京市民政局,行政检查,202203JC007,2022.07.28,首都无偿献血志愿者协会,合格
北京市民政局,行政检查,2022070015,2022.07.28,京冀线5,合格
北京市民政局,行政检查,2022080014,2022.07.28,北京果树学会,合格
北京市民政局,行政检查,20220100019,2022.07.29,北京市帆船帆板运动协会,合格
北京市民政局,行政检查,202205S012,2022.08.02,北京绿色啄木鸟志愿服务中心,合格
北京市民政局,行政检查,202205S013,2022.08.02,北京市永爱志愿服务公益发展中心,合格
北京市民政局,行政检查,2022080016,2022.08.02,北京宜信公益基金会（慈善组织）,合格
北京市民政局,行政检查,202202008,2022.08.03,北京市绿色产业发展促进会,合格
北京市民政局,行政检查,202202009,2022.08.03,北京雍阳书画院,合格
北京市民政局,行政检查,202205S014,2022.08.03,北京燕京八绝博物馆,合格
北京市民政局,行政检查,202205S016,2022.08.03,北京超弦存储器研究院,合格
北京市民政局,行政检查,202205S017,2022.08.03,复旦大学北京校友会,合格
北京市民政局,行政检查,202205S018,2022.08.03,北京咏怀体育发展研究院,合格
北京市民政局,行政检查,202205S039,2022.08.03,北京医创肿瘤防治研究基金会（慈善组织）,合格
北京市民政局,行政检查,2022080017,2022.08.03,北京仙桃企业商会,合格
北京市民政局,行政检查,202205S019,2022.08.04,北京市劲飞京作红木文化博物馆,合格
北京市民政局,行政检查,20220100020,2022.08.05,北京幼儿体育协会,合格
北京市民政局,行政检查,202205S020,2022.08.05,北京荣唐连环画博物馆,合格
北京市民政局,行政检查,202205S021,2022.08.05,北京内燃机学会,合格
北京市民政局,行政检查,202205S022,2022.08.05,北京新曦颠覆性技术创新管理中心,合格
北京市民政局,行政检查,202205S023,2022.08.05,北京寰宇芭蕾艺术中心,合格
北京市民政局,行政检查,202205S024,2022.08.05,北京数学会,合格
北京市民政局,行政检查,2022080019,2022.08.05,北京美灵公益基金会（慈善组织）,合格
北京市民政局,行政检查,202205S025,2022.08.08,北京九江企业商会,合格
北京市民政局,行政检查,2022070016,2022.08.09,董某（彩票网点编号11172010）,合格
北京市民政局,行政检查,2022070017,2022.08.09,杜某某（彩票网点编号11172006）,合格
北京市民政局,行政检查,2022070018,2022.08.09,张某某（彩票网点编号11132051）,合格
北京市民政局,行政检查,2022070019,2022.08.09,杜某某（彩票网点编号11132510）,合格
北京市民政局,行政检查,202205S026,2022.08.10,北京微量元素学会,合格
北京市民政局,行政检查,202205S027,2022.08.10,北京资阳企业商会,合格
北京市民政局,行政检查,20220100021,2022.08.11,北京易拍全球文物艺术品产业发展研究院,合格
北京市民政局,行政检查,20220100022,2022.08.11,北京宝丰碳中和研究院,合格
北京市民政局,行政检查,2022S03JC005,2022.08.12,北京铜牛韧性应急救护促进中心,合格
北京市民政局,行政检查,202202020,2022.08.15,北京南京企业商会,合格
