育种者,申请者,登记编号,作物名称,品种名称
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2017)110051,大白菜,京秋娃娃菜
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)110043,大白菜,北京新一号
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)110395,大白菜,京翠60
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)110396,大白菜,北京新四号
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)110397,大白菜,京秋75号
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)110398,大白菜,北京大牛心
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)110399,大白菜,四季快菜1号
北京百幕田种苗有限公司,北京百幕田种苗有限公司,GPD大白菜(2018)110521,大白菜,夏美黄
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)110584,大白菜,京秋5号
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)110594,大白菜,北京桔红心
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)110595,大白菜,绿快2号
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)110596,大白菜,绿快4号
北京百幕田种苗有限公司,北京百幕田种苗有限公司,GPD大白菜(2018)110597,大白菜,金美黄
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)110812,大白菜,绿快3号
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)110855,大白菜,CR京秋新3号
北京百幕田种苗有限公司,北京百幕田种苗有限公司,GPD大白菜(2018)110930,大白菜,夏玉黄
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2018)110946,大白菜,京春娃3号
北京百幕田种苗有限公司,北京百幕田种苗有限公司,GPD大白菜(2018)111117,大白菜,金秋喜
