项目名称,预售证号,开发企业,委托销售机构,违规事项,公示时间
富东嘉园,京房售证字(2006)452号,北京富利房地产开发有限责任公司,自行销售,该公司富东嘉园5#楼不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/12/26 0:00
珠江峰景家园,京房售证字(2006)407号,北京东方恒嘉房地产开发有限公司,自行销售,该公司珠江峰景27#楼部分房屋不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/12/26 0:00
悠乐汇中心,京房售证字(2006)458号,北京圣鹏房地产开发有限公司,北京置信房地产经纪有限公司,该公司悠乐汇中心B区D座1706号房屋不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/12/26 0:00
西城晶华苑,京房售证字(2006)523号,北京江盛房地产开发有限公司,北京冠邦房地产经纪有限公司,该公司西城晶华4#、6#楼部分房屋不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/12/26 0:00
紫芳园六区一组团项目,京房售证字(2006)503号,北京豪景苑房地产有限公司,自行销售,该公司方庄6号5#楼未按规定进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/12/26 0:00
丽泽雅园,京房售证字(2006)454号,北京东兴联房地产开发有限责任公司,自行销售,该公司丽泽大厦K座未按规定进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/12/26 0:00
柳清居,京房售证字701号,北京强佑房地产开发公司,未办理销售机构注册备案,该公司柳青居B楼15层b反1702室订立商品房买卖合同前隐瞒商品房已经抵押的事实（法院已判决）。  ,2006/12/26 0:00
嘉美风尚中心,京房售证字(2005)178号,北京金冠达房地产开发有限公司,嘉美风尚中心,该公司嘉美风尚中心2#楼1902、2103房屋未按规定进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/12/26 0:00
昊腾家园,,北京隆辉房地产开发有限公司,未办理销售机构注册备案,该公司未取得预售许可证擅自预售昊腾家园项目。,2006/9/12 0:00
通州区芙蓉园,京房权证通股字第0612004号,北京盛业房地产开发有限公司,自行销售,该公司芙蓉园项目204#楼不进行现房网上签约。  ,2006/9/12 0:00
华杰大厦,京房权证海其字第0069125号,北京华之杰房地产开发有限公司,未办理销售机构备案,该公司华杰大厦项目不进行现房网上签约。,2006/9/12 0:00
九号书院,京房售证字(2003)210号,北京鼎成房地产开发有限公司,未办理销售机构注册备案,该公司未取得预售许可证擅自预售九号书院；一房多售，未解除已签订合同，又将房屋出售他人，收取房款。  ,2006/8/24 0:00
南宫苑生态居住区一期工程,京房售证字(2005)713号,北京南宫恒业房地产开发有限公司,未办理销售机构注册备案,该公司未取得预售许可证擅自预售南宫苑二期。  ,2006/8/24 0:00
晓月苑小区七组团7－1＃住宅楼等2项,京房售证字(2006)84号,北京嘉润鸿达置业有限公司,自行销售,该公司晓月苑小区七组团7-1#楼不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/8/24 0:00
流星花园,京房售证字(2005)239号,北京新龙房地产开发有限公司,自行销售,该公司流星花园A区37#楼不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/8/24 0:00
鼎立家园,京房售证字(2005)716号,北京鼎立房地产开发有限公司,自行销售,该公司鼎立家园2#楼不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/8/24 0:00
畅清园小区,京房售证字(2004)87号,北京裕泰房地产开发有限公司,北京锦绣置业房地产经纪有限责任公司,该公司畅清园6#楼不进行网上认购。  ,2006/8/24 0:00
锋阁嘉园,京房售证字(2006)161号,北京万德福房地产开发有限公司,未办理销售机构注册备案,该公司未取得预售许可证擅自预售怡乐二区二期18号楼。  ,2006/6/29 0:00
方安苑,京房售证字368号,北京安乐大酒店有限公司,自行销售,未进行现房销售备案擅自现房销售方安苑5号、8号楼。  ,2006/6/29 0:00
荣丰嘉园三期,京房售证字(2005)236号,北京荣丰房地产开发有限公司,自行销售,该公司未取得预售许可证擅自预售荣丰2008之三期非常空间D2号楼。  ,2006/6/29 0:00
九号书院,京房售证字(2003)210号,北京鼎成房地产开发有限公司,未办理销售机构注册备案,该公司九号书院一房多售，未解除已签订合同，又将房屋出售他人，收取房款；同时售房时出示伪造的商品房预售许可证。  ,2006/6/29 0:00
大成国际中心,京房售证字(2006)5号,北京恒兴置地房地产有限公司,北京协成房地产经纪有限责任公司,该公司大成国际中心2#楼不进行网上认购、虚报销售进度，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/6/29 0:00
世纪星河名苑,京房售证字(2003)407号,北京永泰宏基房地产开发有限公司,北京中大恒基房地产经纪有限公司,该公司世纪星河名苑1#楼不进行网上认购、虚报销售进度，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/6/29 0:00
华富丽苑,京房售证字(2006)19号,北京玉泉房地产开发中心,自行销售,该公司玉泉小区兆丰住宅楼不进行网上认购、虚报销售进度，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/6/29 0:00
华发颐园,京房售证字(2005)710号,北京九郡房地产开发有限公司,未办理销售机构注册备案,该公司华发颐园1#、2#、3#、5#、6#楼不按期开盘，未按规定公布开盘进度和价格  ,2006/6/29 0:00
西局欣园,京房售证字(2006)42号,北京宏基源房地产开发有限公司,未办理销售机构注册备案,该公司西局欣园项目E1、E2楼不按期开盘，未按规定公布开盘进度和价格  ,2006/6/29 0:00
润枫水尚苑,京房售证字(2006)121号,北京润丰房地产开发有限公司,,该公司润丰水尚苑12#－14#楼不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/6/29 0:00
晨光家园B6、B9、B10住宅楼,京房售证字(2006)116号,北京住总房地产开发有限责任公司,未办理销售机构注册备案,该公司晨光家园B6#楼不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/6/29 0:00
上京家园,京房售证字(2006)151号,北京住公房地产开发有限公司,北京易德行房地产经纪有限公司,该公司上京家园304#楼不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2006/6/29 0:00
