2022年1-10月北京市专利授权量超百件专利权人名单统计,,,
排序,权利人名称,合计
388,国联汽车动力电池研究院有限责任公司,119
389,华能国际电力股份有限公司,119
390,晶芯成（北京）科技有限公司,119
391,腾讯云计算（北京）有限责任公司,119
392,中国铁道科学研究院,119
393,北京大学第三医院（北京大学第三临床医学院）,118
394,北京中煤矿山工程有限公司,118
395,新石器慧通（北京）科技有限公司,118
396,北京中科三环高技术股份有限公司,117
397,北京临近空间飞行器系统工程研究所,116
398,东方网力科技股份有限公司,116
399,首都航天机械公司,116
400,中国人民解放军军事医学科学院微生物流行病研究所,115
401,中国铁道科学研究院铁道建筑研究所,115
402,北京宝沃汽车股份有限公司,114
403,公安部物证鉴定中心,114
404,中国电子科技集团公司第十五研究所,114
405,北京首钢国际工程技术有限公司,113
406,中国电子科技集团公司电子科学研究院,113
407,北京知道创宇信息技术股份有限公司,112
408,北京车和家信息技术有限公司,111
409,京东科技信息技术有限公司,111
410,中钞特种防伪科技有限公司,111
411,北京富纳特创新科技有限公司,110
412,航天科工惯性技术有限公司,110
413,中铁六局集团有限公司,110
414,北京东方计量测试研究所,109
415,北京明略软件系统有限公司,109
416,禾多科技（北京）有限公司,109
417,北京海泰方圆科技股份有限公司,107
418,中国航空工业集团公司北京航空精密机械研究所,107
419,中核能源科技有限公司,107
420,中科合成油技术股份有限公司,107
421,北京航天动力研究所,106
422,中国人民解放军总后勤部军需装备研究所,106
423,中科三清科技有限公司,106
424,北京振兴计量测试研究所,105
425,通号城市轨道交通技术有限公司,105
426,中国航空综合技术研究所,105
427,中国人民解放军军事医学科学院放射与辐射医学研究所,105
428,北京服装学院,104
429,首都医科大学宣武医院,104
430,中国航天员科研训练中心,104
431,中国路桥工程有限责任公司,104
432,北京国电通网络技术有限公司,103
433,北京极智嘉科技股份有限公司,103
434,北京交大思诺科技股份有限公司,103
435,北京七星华创电子股份有限公司,102
436,硅谷数模半导体（北京）有限公司,102
437,青岛泱深生物医药有限公司,102
438,驭势科技（北京）有限公司,102
439,北京仿真中心,101
440,华锐风电科技（集团）股份有限公司,101
441,中国联合重型燃气轮机技术有限公司,101
442,中国民航信息网络股份有限公司,101
443,北京半导体专用设备研究所（中国电子科技集团公司第四十五研究所）,100
444,北京每日优鲜电子商务有限公司,100
445,北京中科微投资管理有限责任公司,100
446,中国资源卫星应用中心,100
447,中铝材料应用研究院有限公司,100
