丰台区应急管理局执法检查公示目录（第三季度6月24日-9月30日）,,,,,,
序号,被检查单位名称,检查日期,执法检查单编号,检查方式是否双随机,检查结论,检查部门
148,北京协和燕庆石油化工有限公司右安门加油站,44768,(京丰)应急现记〔2022〕执01072号,否,合格,区应急管理局
149,北京丰台加油站,44768,(京丰)应急现记〔2022〕执01074号,否,合格,区应急管理局
150,北京凡家村加油站,44769,(京丰)应急现记〔2022〕执01080号,否,合格,区应急管理局
151,北京鑫兆元商贸中心,44769,(京丰)应急现记〔2022〕执01082号,否,合格,区应急管理局
152,北京金环城加油站有限公司,44769,(京丰)应急现记〔2022〕执01085号,否,合格,区应急管理局
153,北京捷快达加油站,44769,(京丰)应急现记〔2022〕执01093号,否,合格,区应急管理局
154,北京公联京胜石化有限公司,44769,(京丰)应急现记〔2022〕执01077号,否,合格,区应急管理局
155,北京市丰台长兴气体厂,44769,(京丰)应急现记〔2022〕执01089号,否,合格,区应急管理局
156,北京公联京胜石化有限公司第一加油站,44769,(京丰)应急现记〔2022〕执01078号,否,合格,区应急管理局
157,北京北方生物技术研究所有限公司,44769,(京丰)应急现记〔2022〕执01084号,否,合格,区应急管理局
158,北京镇岗加油站有限公司,44769,(京丰)应急现记〔2022〕执01090号,否,合格,区应急管理局
159,北京印刷集团有限责任公司印刷一厂,44769,(京丰)应急现记〔2022〕执01095号,否,合格,区应急管理局
160,北京鑫诚安泰酒店管理服务有限公司,44770,(京丰)应急现记〔2022〕执01098号,否,不合格（复查以后合格）,区应急管理局
161,北京鑫诚安泰酒店管理服务有限公司,44770,(京丰)应急现记〔2022〕执01096号,否,不合格（复查以后合格）,区应急管理局
162,北京中油潞安石油销售有限公司,44770,(京丰)应急现记〔2022〕执01099号,否,合格,区应急管理局
163,北京兴海康克焊料助剂有限公司,44770,(京丰)应急现记〔2022〕执01097号,否,不合格（复查以后合格）,区应急管理局
164,北京市丰台赵辛店加油站,44774,(京丰)应急现记〔2022〕执01101号,否,合格,区应急管理局
165,北京东颐食品科技有限公司,44774,(京丰)应急现记〔2022〕执01100号,否,合格,区应急管理局
166,北京庄子工贸有限责任公司第二专卖店,44775,(京丰)应急现记〔2022〕执01102号,否,不合格（复查以后合格）,区应急管理局
167,北京市液化石油气公司南郊分公司,44776,(京丰)应急现记〔2022〕执01103号,否,合格,区应急管理局
168,北京首华物业管理有限公司,44776,(京丰)应急现记〔2022〕执01105号,否,不合格（复查以后合格）,区应急管理局
169,北京花乡新兴食品加工厂(宛平城地区办事处-颜必祥),44777,(京丰)应急现记〔2022〕执01104号,否,合格,区应急管理局
170,北京石北燕衡商店,44778,(京丰)应急现记〔2022〕执01106号,否,合格,区应急管理局
171,北京集美卢沟桥家居商贸有限公司,44778,(京丰)应急现记〔2022〕执01218号,否,合格,区应急管理局
172,北京丰台京旭加油站,44781,(京丰)应急现记〔2022〕执01107号,否,合格,区应急管理局
173,北京凌晟能源科技有限公司,44781,(京丰)应急现记〔2022〕执01108号,否,合格,区应急管理局
174,北京盛致艺品体育文化有限公司分公司,44782,(京丰)应急现记〔2022〕执01173号,否,合格,区应急管理局
175,巴音浩日娲民族餐饮管理（北京）有限责任公司,44782,(京丰)应急现记〔2022〕执01111号,否,合格,区应急管理局
176,北京碧海云智新材料技术有限公司,44782,(京丰)应急现记〔2022〕执01142号,否,合格,区应急管理局
177,北京方仕国际黄金珠宝商城有限公司,44782,(京丰)应急现记〔2022〕执01112号,是,不合格（复查以后合格）,区应急管理局
