id,预售许可证号,项目名称,建设单位,发文编号,交换时间,采集时间
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,（2006）丰民初字第4719号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,(2001)二中执字第1081号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,（2006）诸民一初字第2154-1号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,（2006）丰民初字第4715号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,（2006）丰民初字第4716号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,（2007）赤法执字第6号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
303376,京房售证字(2004)509号,碧水庄园,北京必胜房地产开发有限公司,(2014)昌民初字第8891号,2004-11-05 00:00:00.000,2004-11-05 00:00:00.000
262645,京房售证字(2004)467号,富尔大厦,北京美迪亚置业有限公司,（2006）二中民初字第2838号,2004-10-15 00:00:00.000,2004-10-15 00:00:00.000
346427,京房售证字(2004)465号,福华大厦,北京南湖花园公寓有限公司,（2005）穗中法执字第2104-7号,2004-10-10 00:00:00.000,2004-10-10 00:00:00.000
27646,京房售证字(2004)430号,麓鸣花园,北京兴昌达博房地产开发有限公司,(2007)军海刑查字第1号,2004-09-21 00:00:00.000,2004-09-21 00:00:00.000
308302,京房售证字(2004)427号,航丰园科技大厦A座,北京航丰园科技发展有限责任公司,（2006）二中执字第859号,2004-09-20 00:00:00.000,2004-09-20 00:00:00.000
198151,京房售证字(2004)426号,珠江国际家园,北京珠江房地产开发有限公司,(2006)二中民初字第4469号,2004-09-15 00:00:00.000,2004-09-15 00:00:00.000
287747,京房售证字(2004)404号,御东花园,北京成远房地产开发有限公司,(2007)二中执字第1491号,2004-09-03 00:00:00.000,2004-09-03 00:00:00.000
287747,京房售证字(2004)404号,御东花园,北京成远房地产开发有限公司,(2007)高民终字第151号,2004-09-03 00:00:00.000,2004-09-03 00:00:00.000
287747,京房售证字(2004)404号,御东花园,北京成远房地产开发有限公司,(2007)朝保字第10725号,2004-09-03 00:00:00.000,2004-09-03 00:00:00.000
287747,京房售证字(2004)404号,御东花园,北京成远房地产开发有限公司,(2005)朝执字第9315号,2004-09-03 00:00:00.000,2004-09-03 00:00:00.000
287747,京房售证字(2004)404号,御东花园,北京成远房地产开发有限公司,(2007)二中执字第1491号,2004-09-03 00:00:00.000,2004-09-03 00:00:00.000
3338,京房售证字(2004)398号,久居雅园,北京伯雅房地产开发有限公司,(2006)二中民初字第12530号,2004-09-01 00:00:00.000,2004-09-01 00:00:00.000
3338,京房售证字(2004)398号,久居雅园,北京伯雅房地产开发有限公司,(2006)二中民初字第12530号,2004-09-01 00:00:00.000,2004-09-01 00:00:00.000
3338,京房售证字(2004)398号,久居雅园,北京伯雅房地产开发有限公司,(2007)京执字第1715号,2004-09-01 00:00:00.000,2004-09-01 00:00:00.000
3338,京房售证字(2004)398号,久居雅园,北京伯雅房地产开发有限公司,（2007)二中执字第1715号,2004-09-01 00:00:00.000,2004-09-01 00:00:00.000
3338,京房售证字(2004)398号,久居雅园,北京伯雅房地产开发有限公司,(2007）京执字第1715号,2004-09-01 00:00:00.000,2004-09-01 00:00:00.000
3338,京房售证字(2004)398号,久居雅园,北京伯雅房地产开发有限公司,(2006)二中民初字第12530号,2004-09-01 00:00:00.000,2004-09-01 00:00:00.000
2207,京房售证字(2004)392号,名苑雅居,北京富兴苑房地产开发有限公司,(2005)朝执字第1267号,2004-09-01 00:00:00.000,2004-09-01 00:00:00.000
122737,京房售证字(2004)383号,蓝堡北区办公楼,北京建华时代房地产有限公司,经侦发字[2006]134号,2004-08-25 00:00:00.000,2004-08-25 00:00:00.000
10283,京房售证字(2004)282号,兴城嘉园,北京方正房地产开发有限公司,(2007)一中民初字第1190号,2004-07-16 00:00:00.000,2004-07-16 00:00:00.000
327467,京房售证字(2004)266号,丰台56#院商住楼（国润科技大厦）,北京新润房地产开发有限公司,（2005）二中民初字第9753号,2004-07-08 00:00:00.000,2004-07-08 00:00:00.000
327467,京房售证字(2004)266号,丰台56#院商住楼（国润科技大厦）,北京新润房地产开发有限公司,(2005)二中民初字第09753号,2004-07-08 00:00:00.000,2004-07-08 00:00:00.000
50246,京房售证字(2004)251号,欧陆经典北区,北京太合龙脉房地产开发有限责任公司,(2006)执字第13018号,2004-07-02 00:00:00.000,2004-07-02 00:00:00.000
50246,京房售证字(2004)251号,欧陆经典北区,北京太合龙脉房地产开发有限责任公司,(2006)二中执字第374号,2004-07-02 00:00:00.000,2004-07-02 00:00:00.000
3343,京房售证字(2004)241号,久居雅园B区,北京伯雅房地产开发有限公司,(2006)二中民初字第12530号,2004-06-30 00:00:00.000,2004-06-30 00:00:00.000
3343,京房售证字(2004)241号,久居雅园B区,北京伯雅房地产开发有限公司,(2006)二中民初字第12530号,2004-06-30 00:00:00.000,2004-06-30 00:00:00.000
3343,京房售证字(2004)241号,久居雅园B区,北京伯雅房地产开发有限公司,（2008）海民初字第7800号,2004-06-30 00:00:00.000,2004-06-30 00:00:00.000
3343,京房售证字(2004)241号,久居雅园B区,北京伯雅房地产开发有限公司,(2007)二中执字第1715号  ,2004-06-30 00:00:00.000,2004-06-30 00:00:00.000
3343,京房售证字(2004)241号,久居雅园B区,北京伯雅房地产开发有限公司,（2006）二中民初字第12530号,2004-06-30 00:00:00.000,2004-06-30 00:00:00.000
23005,京房售证字(2003)33号,珠江华景家园,北京合生北方房地产开发有限公司,无,2004-06-23 00:00:00.000,2004-06-23 00:00:00.000
147587,京房售证字(2004)96号,北辰澜桥国际花园,北京北辰房地产开发股份有限公司,20060124,2004-05-27 00:00:00.000,2004-05-27 00:00:00.000
327486,京房售证字(2004)196号,正旭晶典花园,北京正旭晶典房地产开发有限公司,(2009)朝民保字第7173号,2004-05-27 00:00:00.000,2004-05-27 00:00:00.000
327486,京房售证字(2004)196号,正旭晶典花园,北京正旭晶典房地产开发有限公司,(2009)朝民保字第7172号,2004-05-27 00:00:00.000,2004-05-27 00:00:00.000
327486,京房售证字(2004)196号,正旭晶典花园,北京正旭晶典房地产开发有限公司,（2008）朝执字第1094号,2004-05-27 00:00:00.000,2004-05-27 00:00:00.000
132201,京房售证字(2004)178号,御东花园,北京成远房地产开发有限公司,(2007)二中执字第1491号,2004-05-17 00:00:00.000,2004-05-17 00:00:00.000
132201,京房售证字(2004)178号,御东花园,北京成远房地产开发有限公司,(2007)高民终字第151号,2004-05-17 00:00:00.000,2004-05-17 00:00:00.000
132201,京房售证字(2004)178号,御东花园,北京成远房地产开发有限公司,(2007)二中执字第1491号,2004-05-17 00:00:00.000,2004-05-17 00:00:00.000
210204,京房售证字(并)378号,棕榈泉国际名苑,棕榈泉置业有限公司,（2006）温执字第8号,2004-05-10 00:00:00.000,2004-05-10 00:00:00.000
84881,京房售证字(2004)106号,政泉花园一期,北京政泉控股有限公司,经侦发字[2006]94号,2004-04-29 00:00:00.000,2004-04-29 00:00:00.000
214907,京房售证字(2004)11号,建外SOHO,北京红石建外房地产开发有限公司,（2006）朝执字第6611号,2004-04-26 00:00:00.000,2004-04-26 00:00:00.000
214907,京房售证字(2004)11号,建外SOHO,北京红石建外房地产开发有限公司,京检一分函[2005]117号,2004-04-26 00:00:00.000,2004-04-26 00:00:00.000
744677,京房售证字(2004)142号,枫桥别墅,北京精达房地产开发有限公司,（2008）顺执字第502号,2004-04-15 00:00:00.000,2004-04-15 00:00:00.000
744677,京房售证字(2004)142号,枫桥别墅,北京精达房地产开发有限公司,（2006）武执字第00126-1号,2004-04-15 00:00:00.000,2004-04-15 00:00:00.000
744677,京房售证字(2004)142号,枫桥别墅,北京精达房地产开发有限公司,（2008）滦民初字第1821号,2004-04-15 00:00:00.000,2004-04-15 00:00:00.000
