实施主体,职权编号,职权名称,职权种类
,,,
区规划和自然资源委员会,C1514000,对企业未按照规定提供信用档案信息的行为进行处罚,"警告,罚款"
,,,
区规划和自然资源委员会,C1514100,对建设工程勘察设计单位涂改、倒卖、出租、出借或者以其他形式非法转让资质证书的行为进行处罚,"警告,罚款"
,,,
区规划和自然资源委员会,C1514400,对城乡规划编制单位涂改、倒卖、出租、出借或者以其他形式非法转让资质证书的行为进行处罚,"警告,罚款"
,,,
区规划和自然资源委员会,C1514500,对未按照《城乡规划编制单位资质管理规定》要求提供信用档案信息的行为进行处罚,"警告,罚款"
,,,
区规划和自然资源委员会,C1514600,对隐瞒有关情况或者提供虚假材料申请注册的行为进行处罚,警告
,,,
区规划和自然资源委员会,C1514700,对以欺骗、贿赂等不正当手段取得注册证书的行为进行处罚,"没收违法所得,罚款"
,,,
区规划和自然资源委员会,C1514800,对泄露执业中应当保守的秘密并造成严重后果的行为进行处罚,"没收违法所得,警告,罚款"
,,,
区规划和自然资源委员会,C1514900,对未办理变更注册而继续执业的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1515000,对涂改、倒卖、出租、出借或者以其他形式非法转让执业资格证书、互认资格证书、注册证书和执业印章的行为进行处罚,"没收违法所得,罚款"
,,,
区规划和自然资源委员会,C1515100,对注册建筑师或者其聘用单位未按照要求提供注册建筑师信用档案信息的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1515200,对聘用单位为申请人提供虚假注册材料的行为进行处罚,"警告,罚款"
,,,
区规划和自然资源委员会,C1515300,对超出范围从事施工图审查的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1515400,对使用不符合条件审查人员的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1515500,对未按规定的内容进行审查的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1515600,对未按规定上报审查过程中发现的违法违规行为的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1515700,对未按规定填写审查意见告知书的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1515800,对未按规定在审查合格书和施工图上签字盖章的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1515900,对审查机构出具虚假审查合格书的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1516000,对审查人员在虚假审查合格书上签字的行为进行处罚,责令停产停业
,,,
区规划和自然资源委员会,C1516100,对压缩合理审查周期的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1516200,对提供不真实送审资料的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1516300,对审查机构提出不符合法律、法规和工程建设强制性标准要求的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1516400,对建设单位未按照建筑节能强制性标准委托设计的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1516500,对擅自修改节能设计文件，明示或暗示设计单位、施工单位违反建筑节能设计强制性标准，降低工程建设质量的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1516900,对招标人将必须进行设计招标的项目不招标的，或将必须进行招标的项目化整为零或者以其他方式规避招标的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1517000,"对招标文件、资格预审文件的发售、澄清、修改的时限,或者确定的提交资格预审申请文件、投标文件的时限不符合招标投标法和招标投标法实施条例规定的行为进行处罚",罚款
,,,
区规划和自然资源委员会,C1517500,对不按照招标文件规定的评标标准和方法评标的行为进行处罚,其他
,,,
区规划和自然资源委员会,C1517600,"对招标人以抽签、摇号等不合理的条件限制或者排斥资格预审合格的潜在投标人参加投标,对潜在投标人实行歧视待遇的,强制要求投标人组成联合体共同投标的,或者限制投标人之间竞争的行为进行处罚罚",罚款
,,,
区规划和自然资源委员会,C1518800,对涂改、倒卖、出租、出借或者以其他形式转让测绘资质证书的行为进行处罚,责令停产停业
,,,
区规划和自然资源委员会,C1518900,对违反保密规定加工、处理和利用涉密测绘成果，存在失泄密隐患被查处的行为进行处罚,责令停产停业
,,,
