行政处罚决定书文号,处罚依据,处罚类别,处罚决定日期
顺环保车罚字〔2022〕051号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-07-26
顺环保车罚字〔2022〕054号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-07-26
顺环保车罚字〔2022〕048号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-07-26
顺环保车罚字〔2022〕049号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-26
顺环保车罚字〔2022〕050号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-26
顺环保车罚字〔2022〕052号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-26
顺环保车罚字〔2022〕053号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-26
顺环保车罚字〔2022〕055号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-07-26
顺环保监察罚字〔2022〕039号,依据《北京市大气污染防治条例》第一百零八条第一款和《北京市生态环境行政处罚裁量基准（2022年修订版）》的规定,罚款,2022-08-03
顺环保车罚字〔2022〕047号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-08-04
顺环保车罚字〔2022〕046号,《北京市大气污染防治条例》第七十四条第二款,罚款,2022-08-04
顺环保车罚字〔2022〕058号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-08-04
顺环保车罚字〔2022〕057号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-08-04
顺环保车罚字〔2022〕056号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-08-08
顺环保车罚字〔2022〕065号,《中华人民共和国大气污染防治法》第五十一条第一款,罚款,2022-08-26
顺环保车罚字〔2022〕066号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-08-26
顺环保车罚字〔2022〕061号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-08-26
顺环保车罚字〔2022〕063号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-08-26
顺环保监察罚字〔2022〕043号,依据《中华人民共和国大气污染防治法》第一百零八条第一款、第一款第一项与《北京市生态环境行政处罚裁量基准（2022年修订版）》的规定,罚款,2022-08-26
顺环保车罚字〔2022〕059号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-09-02
顺环保车罚字〔2022〕062号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-09-02
顺环保监察罚字〔2022〕041号,《建设项目环境保护管理条例》第二十三条第一款,罚款,2022-09-06
顺环保车罚字〔2022〕064号,《北京市大气污染防治条例》第七十四条第二款,罚款,2022-09-13
顺环保车罚字〔2022〕068号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-09-15
顺环保监察罚字〔2022〕46号,依据《中华人民共和国环境影响评价法》第三十一条第一款和《北京市生态环境行政处罚裁量基准（2022年修订版）》的规定,罚款,2022-09-15
顺环保监察罚字〔2022〕049号,依据《中华人民共和国大气污染防治法》第一百零八条第一款、第一款第一项与《北京市生态环境行政处罚裁量基准（2022年修订版）》的规定,罚款,2022-09-15
顺环保车罚字〔2022〕067号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-09-16
顺环保车罚字〔2022〕070号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-09-16
顺环保车罚字〔2022〕069号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-09-16
顺环保车罚字〔2022〕072号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-09-16
顺环保车罚字〔2022〕074号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-09-16
顺环保车罚字〔2022〕075号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款规定,罚款,2022-09-16
顺环保监察罚字〔2022〕057号,依据《北京市大气污染防治条例》第一百零九条的规定,罚款,2022-09-19
顺环保监察罚字〔2022〕59号,依据《中华人民共和国大气污染防治法》第一百零八条第一款第一项的规定,罚款,2022-09-22
顺环保监察罚字〔2022〕48号,《北京市大气污染防治条例》第一百零八条第一款的规定,罚款,2022-09-22
顺环保车罚字〔2022〕071号,《北京市机动车和非道路移动机械排放污染防治条例》第十二条第一款,罚款,2022-09-23
顺环保监察罚字〔2022〕056号,依据《中华人民共和国环境影响评价法》第三十一条第一款的规定,罚款,2022-09-26
