实施主体,职权编号,职权名称,职权种类
区人力资源和社会保障局,C1112300,对从事劳动能力鉴定的组织或者个人提供虚假鉴定意见，提供虚假诊断证明或者收受当事人财物的行为进行处罚,罚款
,,,
,,,
,,,
区人力资源和社会保障局,C1112400,对人力资源服务机构未依法开展经营业务的行为进行行政处罚,"没收违法所得,罚款,吊销许可证或营业执照"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1112500,对施工总承包单位拒不提供或者无法提供农民工工资专用账户有关资料且责改不改的行为进行处罚,"责令停产停业,罚款"
,,,
区人力资源和社会保障局,C1112600,对单位以实物、有价证券等形式代替货币支付农民工工资责改不改的行为进行处罚,罚款
,,,
区人力资源和社会保障局,C1112700,对分包单位未配合施工总承包单位对其劳动用工进行监督管理责改不改的行为进行处罚,罚款
,,,
区人力资源和社会保障局,C1112800,对施工总承包单位未对分包单位劳动用工实施监督管理责改不改的行为进行处罚,罚款
,,,
区人力资源和社会保障局,C1112900,对施工总承包单位未按规定开设或者使用农民工工资专用账户责改不改的行为进行处罚,"责令停产停业,罚款"
,,,
区人力资源和社会保障局,C1113000,对单位未编制工资支付台账并依法保存，或者未向农民工提供工资清单责改不改的行为进行处罚,罚款
,,,
,,,
,,,
区人力资源和社会保障局,C1113100,对施工总承包单位未按规定存储工资保证金或者未提供金融机构保函责改不改的行为进行处罚,"责令停产停业,罚款"
,,,
,,,
,,,
区人力资源和社会保障局,C1113200,对施工总承包单位未实行施工现场维权信息公示制度责改不改的行为进行处罚,罚款
,,,
,,,
,,,
区人力资源和社会保障局,C1113300,对分包单位未按月考核农民工工作量、编制工资支付表并经农民工本人签字确认责改不改的行为进行处罚,罚款
,,,
区人力资源和社会保障局,C1113400,对单位扣押或者变相扣押用于支付农民工工资的银行账户所绑定的农民工本人社会保障卡或者银行卡责改不改的行为进行处罚,罚款
,,,
