是否已注销,产权单位企业名称,登记编号,设备类型,生产厂家,产权单位统一社会信用代码
有效,北京庞源机械工程有限公司,京TZ-T79187,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京振豪宇安建筑机械租赁有限公司,京FS-T78399,塔式起重机,江西中天智能装备股份有限公司,911101155548872057
有效,北京正和恒泰机械工程有限公司,京MY-T75239,塔式起重机,湖北江汉建筑工程机械有限公司,91110228MA018UPN0B
有效,北京庞源机械工程有限公司,京TZ-S59833,施工升降机,中联重科股份有限公司,911101125568120205
有效,北京富达建筑设备租赁有限公司,京HD-T57287,塔式起重机,中联重科股份有限公司,91110108793447506N
有效,北京瑞麒铭建筑机械租赁有限责任公司,京CP-S81821,施工升降机,北京宏升卓越工程机械有限公司,911101148026600002
有效,北京庞源机械工程有限公司,京TZ-T77325,塔式起重机,中联重科股份有限公司,911101125568120205
有效,北京金山建筑机械厂,京HD-S67940,施工升降机,北京金山建筑机械厂,91110108700313788L
有效,北京新隆兴建筑机械设备租赁有限公司,京CY-S53521,施工升降机,北京宏升卓越工程机械有限公司,91110105055567215Y
有效,北京龙泰机械设备安装有限公司,京FT-T54438,塔式起重机,中联重科股份有限公司,911101061021981424
有效,北京酒仙桥建筑机械租赁有限公司,京MY-T64581,塔式起重机,辽宁天一重工有限公司,911102281030133220
有效,北京鑫和安达工程机械有限公司,京HR-S60179,施工升降机,北京博邦重工机械有限公司,91110116575218393A
有效,北京安答建筑设备有限公司,京HR-S72694,施工升降机,北京宏升卓越工程机械有限公司,91110116MA01B96M0D
有效,北京和众天成建筑设备租赁有限公司,京DX-S67030,施工升降机,黄骅市昌达起重设备有限公司,911101155996859306
有效,北京中达创源机械设备有限公司,京FS-T78089,塔式起重机,中联重科股份有限公司,91110111MA01M07N08
有效,北京天和建筑机械设备租赁有限责任公司,京FT-S55043,施工升降机,北京宏升卓越工程机械有限公司,911101066336408682
有效,北京城乡中昊建设有限责任公司,京DC-T78790,塔式起重机,沈阳三洋建筑机械有限公司,91110101101119844W
有效,北京国成伟业机械设备租赁有限公司,京HR-S73571,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京三上建筑机械租赁有限公司,京FT-T81122,塔式起重机,中联重科股份有限公司,911101067461137227
有效,北京物奇博机械设备租赁有限公司,京CP-S62570,施工升降机,山东鲁塔建工机械有限公司,91110114554821257A
有效,北京立新顺超机械施工有限公司,京SY-T58026,塔式起重机,徐州建机工程机械有限公司,91110113102561095H
有效,北京云飞兴业建筑机械租赁有限公司,京FS-S59372,施工升降机,北京宏升卓越工程机械有限公司,91110106670559524C
有效,北京长金顺发建筑设备租赁有限公司,京DX-W58996,物料提升机,山东协友机械有限公司,91110115L19406337P
有效,北京庞源机械工程有限公司,京TZ-T55944,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京北野建筑工程有限公司,京PG-T72398,塔式起重机,中联重科股份有限公司,91110117MA01GP6R22
有效,北京国成伟业机械设备租赁有限公司,京HR-S73917,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京节节高机械租赁有限公司,京FS-S78626,施工升降机,大汉科技股份有限公司,91110116MA04D89Q3T
有效,北京立新顺超机械施工有限公司,京SY-S75690,施工升降机,北京宏升卓越工程机械有限公司,91110113102561095H
有效,北京正和恒泰机械工程有限公司,京MY-T66754,塔式起重机,湖北江汉建筑工程机械有限公司,91110228MA018UPN0B
有效,北京鑫盈佳诺机械设备租赁有限公司,京FS-T74605,塔式起重机,徐州建机工程机械有限公司,91110111MA01DK783E
有效,北京汇聚同安设备安装有限公司,京MY-T70570,塔式起重机,亚泰重工股份有限公司,91110228MA01MPXP06
有效,北京瑞麒铭建筑机械租赁有限责任公司,京CP-S74255,施工升降机,徐州建机工程机械有限公司,911101148026600002
有效,北京龙泰机械设备安装有限公司,京FT-T54190,塔式起重机,中联重科股份有限公司,911101061021981424
有效,北京庞源机械工程有限公司,京TZ-T79478,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京融祥通达设备租赁有限公司,京SY-S65172,施工升降机,山东鲁塔建工机械有限公司,911101135977336799
有效,北京国成伟业机械设备租赁有限公司,京HR-S63604,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,中臻（北京）建设工程有限公司,京TZ-T53159,塔式起重机,徐州建机工程机械有限公司,91110112MA01FFBM0A
有效,北京国成伟业机械设备租赁有限公司,京HR-S56314,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京润合建筑机械租赁有限公司,京FS-S61327,施工升降机,邢台新恒成机床有限公司,91110304599637269H
有效,北京鑫兴鹏发机械设备有限公司,京MT-T55873,塔式起重机,中联重科股份有限公司,91110109726337788Q
有效,北京沐阳建筑工程有限公司,京HR-S72714,施工升降机,北京宏升卓越工程机械有限公司,91110116MA0196HD87
有效,北京建源机械租赁有限公司,京HR-S70548,施工升降机,新铭瑞重工科技（山东）有限公司,91110116MA00DCND3U
有效,北京庞源机械工程有限公司,京TZ-T75777,塔式起重机,中联重科股份有限公司,911101125568120205
有效,北京庞源机械工程有限公司,京TZ-T77885,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京九方源建筑机械设备租赁有限公司,京CP-S55332,施工升降机,大汉科技股份有限公司,911101145732379612
有效,北京鑫联诚工业机械设备服务有限公司,京PG-T77952,塔式起重机,中联重科股份有限公司,911101170765634835
有效,北京金博元建筑装饰工程有限公司,京FS-T64120,塔式起重机,北京永茂建工机械制造有限公司,91110106318216960H
有效,北京金山建筑机械厂,京HD-S67947,施工升降机,北京金山建筑机械厂,91110108700313788L
有效,北京天和建筑机械设备租赁有限责任公司,京FT-S81584,施工升降机,北京宏升卓越工程机械有限公司,911101066336408682
有效,北京龙泰机械设备安装有限公司,京FT-T62369,塔式起重机,中联重科股份有限公司,911101061021981424
有效,北京嘉诚兴旺建筑机械设备租赁有限公司,京PG-S64538,施工升降机,邢台新恒成机床有限公司,91110117560422340T
有效,北京立新顺超机械施工有限公司,京SY-T80108,塔式起重机,徐州建机工程机械有限公司,91110113102561095H
有效,北京酒仙桥建筑机械租赁有限公司,京MY-S70438,施工升降机,河南省川达建筑机械有限公司,911102281030133220
有效,北京国成伟业机械设备租赁有限公司,京HR-S75599,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京巨福星建筑机械租赁有限公司,京FT-T53269,塔式起重机,抚顺永茂建筑机械有限公司,911101067513377633
有效,北京汇通兴源科技有限公司,京FS-T56047,塔式起重机,沈阳三洋建筑机械有限公司,91110106MA001A7207
有效,北京佳路机械运输有限公司,京CP-T81782,塔式起重机,中联重科股份有限公司,911101147003480401
有效,北京金久安建筑设备租赁有限公司,京PG-S57469,施工升降机,山东盛世恒机械制造有限公司,911102288020872162
有效,北京天和建筑机械设备租赁有限责任公司,京FT-S70144,施工升降机,北京宏升卓越工程机械有限公司,911101066336408682
有效,北京安泰顺昌商贸有限公司,京TZ-T61025,塔式起重机,广西建工集团建筑机械制造有限责任公司,91110112685146431D
有效,北京正和恒泰机械工程有限公司,京MY-T69339,塔式起重机,湖北江汉建筑工程机械有限公司,91110228MA018UPN0B
有效,北京铁庆吊装设备租赁有限公司,京FT-S76200,施工升降机,大汉科技股份有限公司,91110106771594580J
有效,北京天和建筑机械设备租赁有限责任公司,京FT-S58862,施工升降机,北京宏升卓越工程机械有限公司,911101066336408682
有效,北京亚泰众安起重机械设备租赁有限公司,京FS-S74375,施工升降机,亚泰重工股份有限公司,91110111579040676B
有效,北京锦荣盛达建筑设备租赁有限公司,京DX-W57912,物料提升机,天津市宝亮建筑机械有限公司,91110115L2216085XC
有效,北京汇鑫机械厂,京DC-S52969,施工升降机,北京汇鑫机械厂,9111010110151393XX
有效,北京宏达盛都商贸有限公司,京DX-S59098,施工升降机,大汉科技股份有限公司,91110115665626251Q
有效,北京振豪宇安建筑机械租赁有限公司,京DX-S54878,施工升降机,北京九虹中工工程机械有限公司,911101155548872057
有效,北京荣基建筑机械设备租赁有限公司,京CP-S62171,施工升降机,山东鲁塔建工机械有限公司,91110114MA01EWF4XC
有效,北京天和建筑机械设备租赁有限责任公司,京FT-S57049,施工升降机,北京宏升卓越工程机械有限公司,911101066336408682
