主键ID,企业名称,检查实施单位,检查时间,检查事项,检查结果,时间戳,统一社会信用代码
76c2d6b236ff46c3b68ee47fdeb43e54,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,使用的食品原料、食品添加剂、食品相关产品的品种与索证索票、进货查验记录内容一致。,1,5/9/2024 14:05:01,91110113757731032D
6cd8cab8d9384b4ba2ddc85a7ba7a857,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,未发现标注虚假生产日期或批号的情况。,1,5/9/2024 14:05:01,91110113757731032D
6bd9ebd815d1405788d86c3ba44dca40,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,有召回计划、公告等相应记录；召回食品有处置记录。,1,5/9/2024 14:05:01,91110113757731032D
69856a50195145f197a0d4e61dba252e,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,有出厂记录，如实记录食品的名称、规格、数量、生产日期或者生产批号、检验合格证明、销售日期以及购货者名称、地址、联系方式等内容。,1,5/9/2024 14:05:01,91110113757731032D
697e867f15f74e719eff8fa93d67195e,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,预包装食品的包装有标签，标签标注的事项完整、真实。,1,5/9/2024 14:05:01,91110113757731032D
657c19be3a9c459dad8fae67fb9c2007,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,按照经特殊食品注册或备案的产品配方、生产工艺等技术要求组织生产。,1,5/9/2024 14:05:01,91110113757731032D
63ca021731654ce1948fbcd34c722d0a,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,根据产品特点建立和执行相适应的贮存、运输及交付控制制度和记录。,1,5/9/2024 14:05:01,91110113757731032D
63bf79e5c3d44a43b28baf45cfab061c,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,生产特殊食品使用的原料、食品添加剂与注册或备案的技术要求一致。,1,5/9/2024 14:05:01,91110113757731032D
634b498ee900463f94733d4047f4f1b6,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,保健食品原料提取物或原料前处理符合要求。,1,5/9/2024 14:05:01,91110113757731032D
620ab3df7e1e4b13ab046de1d76f960e,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,发生食品安全事故的，对导致或者可能导致食品安全事故的食品及原料、工具、设备、设施等，立即采取封存等控制措施，并向事故发生地市场监督管理部门报告。,1,5/9/2024 14:05:01,91110113757731032D
60351af704c14840b4a5b30b0fd6445e,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,食品添加剂专库或专区贮存，明显标示，专人管理。,1,5/9/2024 14:05:01,91110113757731032D
5f195a9b0a7a43c898bc1c80afdde672,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,不能自检的，委托有资质的检验机构进行检验。,1,5/9/2024 14:05:01,91110113757731032D
5be419d49e8e4268b5f109bbe9cb6a27,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,批生产记录真实、完整、可追溯，批生产记录中的生产工艺和参数等与工艺规程和有关制度要求一致。,1,5/9/2024 14:05:01,91110113757731032D
5b53c7f8af484967ac525e3017261a9b,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,通风、防尘、排水、照明、温控等设备设施正常运行，存放垃圾、废弃物的设备设施标识清晰，有效防护。,1,5/9/2024 14:05:01,91110113757731032D
56189c934f134d22afb4a6f43927f542,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,工作人员穿戴工作衣帽，洗手消毒后进入生产车间。生产车间内未发现与生产无关的个人用品或者其他与生产不相关物品。,1,5/9/2024 14:05:01,91110113757731032D
4eee5f765e984cc6955672a52b07086a,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,企业负责人在企业内部制度制定、过程控制、安全培训、安全检查以及食品安全事件或事故调查等环节履行了岗位职责并有记录。,1,5/9/2024 14:05:01,91110113757731032D
4cb3b42e1cbf4efb9480804b89bb0236,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,建立和保存原始检验数据和检验报告记录，检验记录真实、完整，保存期限符合规定要求。,1,5/9/2024 14:05:01,91110113757731032D
3f7103c0231e4d75b4961c10ab54f76f,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,对自查发现食品安全问题，立即采取整改、停止生产等措施，并按规定向所在地市场监督管理部门报告。,1,5/9/2024 14:05:01,91110113757731032D
37f7d07a8bd2436cb4c1d17675f3a400,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,未发现使用非食品原料、食品添加剂以外的化学物质、回收食品、超过保质期与不符合食品安全标准的食品原料和食品添加剂投入生产。,1,5/9/2024 14:05:01,91110113757731032D
363aee4ecf0849bcaa1a3787d0b94e25,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,未发现使用药品生产食品，未发现仅用于保健食品的原料生产保健食品以外的食品。,1,5/9/2024 14:05:01,91110113757731032D
2f88a187a8724d4faa381e97980136a6,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,建立和保存不合格品的处置记录，不合格品的批次、数量应与记录一致。,1,5/9/2024 14:05:01,91110113757731032D
2afbda62729940a99aa1e47f019aff74,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,有定期排查食品安全风险隐患的记录。,1,5/9/2024 14:05:01,91110113757731032D
25fb324bf09d49829e48a387f366fe13,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,建立信息化食品安全追溯体系的，电子记录信息与纸质记录信息保持一致。,1,5/9/2024 14:05:01,91110113757731032D
