规则：1、数据来源于双公示数据。2、日期按照决定日期选择1月日至6月30日。3、删除公示截止期小于6月30日的处罚。4、详情组合认定依据、违法事由、处罚依据、处罚内容,/,/,/,/,/,/,/,/,/,/
序号,行政相对人名称,处罚决定书文号,详情,,,,,处罚决定书决定日期,处罚公示期限,办案机关
223,北京永诚隆基础工程有限责任公司,京建法罚（市）字[2023]第010182号,《危险性较大的分部分项工程安全管理规定》第三十五条第（二）项以及《北京市住房城乡建设系统行政处罚裁量基准》C1667700B020,位于朝阳区豆各庄乡孙家坡村的北京市朝阳区豆各庄乡孙家坡1306-638地块F1住宅混合公建用地项目（11#商业楼等34项）-（5#~10#住宅楼、14#办公楼、15#社区配套服务中心、16#托幼主楼、16#托幼门卫、17#社区配套楼、B#地下车库、C#地下车库、2#人防出入口、5#~9#人防出入口），建设单位为北京朝意房地产开发有限公司，监理单位为北京五环国际工程管理有限公司，施工总承包单位为北京城建一建设发展有限公司，北京永诚隆基础工程有限责任公司为该工程基坑支护及桩基工程专业分包施工单位。该工程15#社区配套服务中心基坑工程设计开挖深度为7.41米，采用土钉墙支护体系，支护结构安全等级为三级，现场检查时该基坑开挖深度为3米，按照《住房城乡建设部办公厅关于实施<危险性较大的分部分项工程安全管理规定>有关问题的通知》（建办质〔2018〕31号）附件2第一条的规定，开挖深度超过5m（含5m）的基坑支护工程属于超过一定规模的危险性较大的分部分项工程，即该基坑支护工程为危险性较大的分部分项工程。经查，北京永诚隆基础工程有限责任公司在该工程施工现场存在以下问题：自基坑开挖之日2023年2月8日开始至2月23日现场检查时，北京永诚隆基础工程有限责任公司未对该工程15#社区配套服务中心基坑工程进行施工监测。根据该基坑工程《设计总说明（四）》第十一条第1项监测内容的要求，应对该基坑工程的围护结构顶部水平位移、竖向位移、深层水平位移、锚杆内力、地表沉降、管线沉降观测、水位观测等项目进行监测；依据《建筑基坑工程监测技术标准》（GB50497-2019）第4.2.1条表4.2.1的要求，围护墙（边坡）顶部水平位移、围护墙（边坡）顶部竖向位移、地下水位、周边建筑竖向位移、周边建筑裂缝、地表裂缝、周边管线竖向位移为该安全等级为三级的基坑应测的监测项目；按照该工程《朝阳区豆各庄乡孙家坡村1306-638地块F1住宅混合公建用地项目（11#商业楼等34项）一期基坑支护工程施工方案》第6部分6.1.2条中《支护结构监控量测表》的要求，开挖深度在H/3~2H/3的情况下，监测频次为1次/（1~2）d。北京永诚隆基础工程有限责任公司的上述行为属于施工单位未按照规定对危大工程进行施工监测的行为。,《危险性较大的分部分项工程安全管理规定》第三十五条第（二）项以及《北京市住房城乡建设系统行政处罚裁量基准》C1667700B020,罚款,给予北京永诚隆基础工程有限责任公司处20000元罚款的行政处罚。,2023-05-08,2023-11-08,北京市住房和城乡建设委员会
224,北京建工路桥集团有限公司,京建法罚（市）字[2023]第010208号,《中华人民共和国建筑法》第七十一条第一款、《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》C1667000A010,位于通州区永乐店镇的电投工业互联网数据安全信息港1、2号数据中心工程，建设单位为北京电投泰利数据科技发展有限公司，监理单位为北京市驰跃翔管理咨询有限公司，你单位北京建工路桥集团有限公司为该工程施工单位。2023年3月27日本机关现场检查时，你单位北京建工路桥集团有限公司在该工程施工现场存在以下安全隐患：1.2号数据中心首层北侧一处临边防护设置缺失，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.7.1条“临边应连续设置两道防护栏杆，高度不低于1.2m，并设置密目式安全立网封闭严密”的要求；2.1号数据中心首层一分配电箱两路出线中的PE线绝缘颜色未采用绿/黄双色，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第5.1.11条“PE线的绝缘颜色为绿/黄双色”的要求；3.1号数据中心4层局部电缆线沿地面明敷设，未采取可靠的保护措施，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.10.6条“电缆线路宜埋地敷设，当沿建筑物、构筑物敷设时应采取绝缘隔离措施，沿地面明敷设时，必须采取可靠的保护措施”的要求。你单位北京建工路桥集团有限公司的上述行为违反3条技术标准，但不违反强制性条文，可能造成高处坠落、触电事故，存在安全事故隐患，属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《中华人民共和国建筑法》第七十一条第一款、《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》C1667000A010,罚款,给予你单位处5500元罚款的行政处罚,2023-05-06,2024-05-06,北京市住房和城乡建设委员会
225,北京宏福华信混凝土有限公司,京建法罚（市）字[2023]第010029号,《北京市建设工程质量条例》第七十九条,本机关于2023年2月17日对你单位涉嫌存在使用检验不合格的原材料的行为予以立案，开展调查。根据2023年2月17日对你单位委托代理人卫玉霖、王体岭的询问，以及调取有关资料，查明：位于北京市昌平区北七家镇宏福创业园的北京宏福华信混凝土有限公司是预拌混凝土生产单位。2022年4月25日，建研院检测中心有限公司受北京市建设工程安全质量监督总站的委托，对位于北京市昌平区北七家镇宏福创业园的北京宏福华信混凝土有限公司用于预拌混凝土生产的原材料质量进行现场抽样，由奥来国信（北京）检测技术有限责任公司进行检验。2022年7月1日，北京市住房和城乡建设委员会收到奥来国信（北京）检测技术有限责任公司出具的委托编号为2022-084218，的砂试验报告，报告结论为依据JGJ52-2006《普通混凝土用砂、石质量及检验方法标准》，第一组筛分析为实测值，其它所检项目中泥块含量不符合C30～C55普通混凝土用砂质量要求。第二组筛分析为实测值，其它所检项目中泥块含量不符合C30～C55普通混凝土用砂质量要求，违反了GB50164-2011《混凝土质量控制标准》第2.3.1条的规定。该批次原材料已用于预拌混凝土生产。技术负责人卫玉霖是单位该检验直接负责的主管人员。技术部长王体岭是单位该检验其他直接责任人员。上述违法事实清楚，证据确实、充分。当事人对违法事实予以认可。当事人上述行为未造成质量事故。未发现当事人有其他适用减轻、从轻或从重处罚的情形。,《北京市建设工程质量条例》第七十九条,罚款,给予北京宏福华信混凝土有限公司处125000元罚款,2023-05-12,2024-05-12,北京市住房和城乡建设委员会
226,北京市昌平一建建筑有限责任公司环昌商品混凝土搅拌站,京建法罚（市）字[2023]第010043号,《北京市建设工程质量条例》第七十九条,本机关于2023年2月23日对你单位涉嫌存在使用检验不合格的原材料的行为予以立案，开展调查。根据2023年2月23日对你单位委托代理人邢建松、单学军的询问，以及调取有关资料，查明：2022年6月15日，建研院检测中心有限公司受北京市建设工程安全质量监督总站的委托，对位于北京市昌平区水库路东侧的北京市昌平一建建筑有限责任公司环昌商品混凝土搅拌站用于预拌混凝土生产的原材料质量进行现场抽样并进行检验。2022年8月12日，北京市住房和城乡建设委员会收到建研院检测中心有限公司出具的委托编号为2022-00705的碎石试验报告，报告结论为依据JGJ52-2006《普通混凝土用砂、石质量及检验方法标准》检测，第一组所检项目中含泥量指标不合格，泥块含量、针片状颗粒含量指标合格。颗粒级配为实测值。第二组所检项目中含泥量指标不合格，泥块含量、针片状颗粒含量指标合格。颗粒级配为实测值。北京市昌平一建建筑有限责任公司环昌商品混凝土搅拌站上述行为违反了GB50164-2011《混凝土质量控制标准》第2.2.1条的规定。该批次原材料已用于预拌混凝土生产。材料科长邢建松是单位该检验直接负责的主管人员。技术负责人单学军是单位该检验其他直接责任人员。上述违法事实清楚，证据确实、充分。当事人对违法事实予以认可。当事人上述行为未造成质量事故。未发现当事人有其他适用减轻、从轻或从重处罚的情形。,《北京市建设工程质量条例》第七十九条,罚款,给予北京市昌平一建建筑有限责任公司环昌商品混凝土搅拌站处125000元罚款,2023-05-12,2024-05-12,北京市住房和城乡建设委员会
227,北京金色时光房地产经纪有限公司,京建法罚（市）字[2023]第010148号,《北京市住房租赁条例》六十七条第（五）项及《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671000B010,经本机关立案调查，查明你单位存在以下违法事实：北京金色时光房地产经纪有限公司作为房地产经纪机构，在组织出租人与承租人签订位于北京市顺义区建新北区34号楼5层三单元501的住房租赁合同（编号：XSY0019235）前，未编制房屋状况说明书向意向承租人推荐房源时书面告知房屋有关情况。,《北京市住房租赁条例》六十七条第（五）项及《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671000B010,罚款,给予北京金色时光房地产经纪有限公司处12500.00元罚款的行政处罚,2023-05-12,2023-11-12,北京市住房和城乡建设委员会
228,南通通博设备安装集团有限公司,京建法罚（市）字[2023]第010184号,《北京市建设工程质量条例》第八十一条第（一）项以及《北京市住房城乡建设系统行政处罚裁量基准》C1665600B020,麓鸣花园居住及公共服务设施项目（E1商品住宅等61项)-F16商品住宅等40项位于北京市昌平区，建设单位为北京兴昌达博房地产开发有限公司，监理单位为北京中城工程项目管理有限公司，施工总承包单位为通州建总集团有限公司。2023年3月28日，本机关现场检查发现，你单位南通通博设备安装集团有限公司（原南通通博设备安装工程有限公司）为该项目机电工程专业分包施工单位，于2020年9月与施工总承包单位通州建总集团有限公司签订了机电工程专业分包合同，合同价款为24639702.38元。你单位在该机电工程中授权的项目负责人为二级注册建造师张**，其注册证书编号为“苏232070******”，注册专业为机电工程，证书发证机关为江苏省住房和城乡建设厅，该证书在江苏省行政区域内有效，在北京市行政区域内无效。根据《注册建造师执业工程规模标准》（建市[2007]171号）的规定，机电安装工程单项工程造价超过1500万元的，属于大型工程项目，项目负责人必须由一级注册建造师担任。综上，你单位已构成使用不具备相应注册执业资格人员。调查过程中未发现你单位有减轻、从轻或从重的违法情节。,《北京市建设工程质量条例》第八十一条第（一）项以及《北京市住房城乡建设系统行政处罚裁量基准》C1665600B020,罚款,责令你单位30日内改正违法行为，给予你单位处30000元罚款的行政处罚,2023-05-15,2023-11-15,北京市住房和城乡建设委员会
229,浙江弘安建设有限公司,京建法罚（市）字[2023]第010036号,《北京市建设工程施工现场管理办法》第三十九条,本机关于2023年2月22日对你单位涉嫌存在在施工工地现场违法搅拌砂浆、未按照规定使用散装预拌砂浆的行为予以立案，开展调查。根据2023年2月22日对你单位委托代理人徐福勇的询问，以及调取有关资料，查明：位于昌平区回龙观街道的北京市昌平区中关村生命科学园三期及“北四村”棚户区改造土地开发A地块CP02-0101-6006地块R2二类居住用地（配建“保障性租赁住房”）项目（1号楼等19项），施工总承包单位为浙江弘安建设有限公司。该工程建筑工程施工许可证上的建设规模是115865.3160平方米，按照《关于印发<注册建造师执业工程规模标准>（试行）的通知》(建市[2007]171号)的规定，属于大型项目。发现施工总承包单位浙江弘安建设有限公司在施工现场存在以下问题：浙江弘安建设有限公司在施工现场搅拌袋装普通硅酸盐水泥（已用1.8吨），用于砖胎模砌筑施工。现场搅拌砂浆产生粉尘，有可能造成大气污染，也不利于总体的节能减排。上述违法事实清楚，证据确实、充分。当事人对违法事实予以认可。未发现你单位有其他适用减轻、从轻或从重处罚的情形。,《北京市建设工程施工现场管理办法》第三十九条,罚款,给予你单位浙江弘安建设有限公司处175000元罚款,2023-05-12,2026-05-12,北京市住房和城乡建设委员会
230,北京金紫燕房地产经纪有限公司,京建法罚（市）字[2023]第010150号,《北京市住房租赁条例》六十七条第（五）项及《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671000B010,北京金紫燕房地产经纪有限公司作为房地产经纪机构，在组织出租人与承租人签订北京市顺义区石园北区14号楼3层二单元301的房租赁合同（编号：20230001）前，未编制房屋状况说明书向意向承租人推荐房源时书面告知房屋有关情况。,《北京市住房租赁条例》六十七条第（五）项及《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671000B010,罚款,给予北京金紫燕房地产经纪有限公司处12500.00元罚款的行政处罚,2023-05-12,2023-11-12,北京市住房和城乡建设委员会
231,北京市政建设集团有限责任公司,京建法罚（市）字[2023]第010255号,《中华人民共和国建筑法》第七十一条第一款、《北京市建设工程施工现场管理办法》第三十一条以及《北京市住房城乡建设系统行政处罚裁量基准》C1667000A010,位于北京市通州区永顺镇的城市副中心剧院项目，建设单位为国家大剧院，监理单位为北京华城工程管理咨询有限公司，施工总承包单位为北京建工集团有限责任公司，你单位北京市政建设集团有限责任公司为该项目室外工程专业分包施工单位。2023年4月13日本机关现场检查时，你单位北京市政建设集团有限责任公司在该工程施工现场存在以下安全隐患：1.现场化粪池开挖深度超过1.5m，基坑现场放坡角度约为80°，未按《室外管线工程施工方案》第4.6.2.1款“化粪池施工必须进行放坡开挖，放坡值1:0.75～1:1.1”的要求进行施工，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.2.8条“开挖槽、坑、沟深度超过1.5m，应根据土质和深度情况按规定放坡或采取固壁措施”的要求。2.紧邻已开挖基坑上口堆放钢筋，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.2.5条“基坑周边1m范围内禁止堆物堆料”的要求。你单位北京市政建设集团有限责任公司的上述行为违反2条技术标准，但不违反强制性条文，属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为，违法情节符合《北京市住房城乡建设系统行政处罚裁量基准》C1667000A010的规定情形，在调查过程中未发现你单位北京市政建设集团有限责任公司有其它减轻、从轻或从重的违法情节。,《中华人民共和国建筑法》第七十一条第一款、《北京市建设工程施工现场管理办法》第三十一条以及《北京市住房城乡建设系统行政处罚裁量基准》C1667000A010,罚款,给予你单位处5500元罚款的行政处罚,2023-06-05,2024-06-05,北京市住房和城乡建设委员会
232,北京长安建筑工程有限公司,京建法罚（市）字[2023]第010246号,《北京市建设工程施工现场管理办法》第三十一条,本机关于2023年4月25日对你单位在位于昌平区史各庄街道的1805街区0043地块中学建设工程（1#初一教学楼等9项）施工过程中涉嫌存在施工单位未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为予以立案，开展调查。根据2023年4月26日对你单位委托代理人吴栋的询问，以及调取有关资料，查明：你单位是该工程施工总承包单位。2023年3月13日，你单位在该工程施工现场存在以下问题：1、5#风雨操场西侧落地式脚手架单块垫板上仅设置1根立杆，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.4.7条的规定。2、4#实验楼南侧一台钢筋切断机未搭设防雨、防砸操作棚，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.11.19条的规定。3、施工现场采用TN系统配电，现场检查时2#塔吊专用开关箱未做重复接地，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第5.3.2条强制性条文的规定。4、施工现场南侧总配电箱中漏电保护器的额定漏电动作时间小于等于0.1s，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.2.11条强制性条文的规定。上述违法事实清楚，证据确实、充分。当事人对违法事实予以认可。未发现你单位有其他适用减轻、从轻或从重处罚的情形。,《北京市建设工程施工现场管理办法》第三十一条,罚款,给予北京长安建筑工程有限公司处20000元罚款,2023-06-05,2025-06-05,北京市住房和城乡建设委员会
233,北京京幕建筑安装有限公司,京建法罚（市）字[2023]第010286号,《中华人民共和国安全生产法》第九十七条第（二）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1666100A010,你单位是北京市海淀区的“海淀北部地区整体开发”苏家坨镇HD00-0303-6031、6032、6033地块（中关村环保科技示范园）F1住宅混合公建用地、A33基础教育用地项目（10#幼儿园等3项）、（7#住宅楼等7项）、（6#办公楼）建筑幕墙工程的劳务分包单位。2023年5月2日本机关对该工程现场检查时，发现施工现场存在以下问题：你单位的姚永刚于2022年10月1日起在“海淀北部地区整体开发”苏家坨镇HD00-0303-6031、6032、6033地块（中关村环保科技示范园）F1住宅混合公建用地、A33基础教育用地项目（10#幼儿园等3项）、（7#住宅楼等7项）、（6#办公楼）建筑幕墙工程北京京幕建筑安装有限公司项目部担任专职安全员，姚永刚未取得由主管的负有安全生产监督管理职责的部门对其安全生产知识和管理能力考核合格的证书。你单位存在安全生产管理人员未按照规定经考核合格的行为。,《中华人民共和国安全生产法》第九十七条第（二）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1666100A010,罚款,给予你单位处以50000.00元的罚款,2023-06-09,2024-06-09,北京市住房和城乡建设委员会
234,天津市佰世恒建筑工程有限公司,京建法罚（市）字[2023]第010200号,《危险性较大的分部分项工程安全管理规定》第三十五条第（二）项,你单位是大兴区旧宫镇南郊农场棚户区改造项目DX05-0200-0037地块R2二类居住用地项目（1#住宅楼等15项）的基坑支护及降水工程专业分包施工单位。该项目基坑开挖深度为8.86-13.66m，开挖深度超过5m，按照《住房城乡建设部办公厅关于实施<危险性较大的分部分项工程安全管理规定>有关问题的通知》（建办质[2018]31号）附件2第一条的规定，该基坑工程属于超过一定规模的危险性较大的分部分项工程。2023年3月16日北京市建设工程安全质量监督总站执法人员现场检查时，基坑开挖至基底，你单位自基坑开挖之日起至检查当日未对周边管线竖向位移进行监测，不符合《建筑基坑工程监测技术标准》（GB50497-2019）第4.2.1条的要求。你单位上述行为可能会导致安全事故的发生，属于未按照规定进行施工监测的行为。你单位该行为直接负责的主管人员是周克，其他直接责任人员是毕学正。,《危险性较大的分部分项工程安全管理规定》第三十五条第（二）项,罚款,给予你单位处20000.00元罚款的行政处罚,2023-06-05,2023-12-05,北京市住房和城乡建设委员会
235,北京建工集团有限责任公司,京建法罚（市）字[2023]第010356号,《中华人民共和国建筑法》第七十一条第一款、《北京市建设工程施工现场管理办法》第三十一条以及《北京市住房城乡建设系统行政处罚裁量基准》C1667000A020,新建业务综合楼项目位于通州区潞城镇，建设单位为北京市城市规划设计研究院，监理单位为北京帕克国际工程咨询股份有限公司，你单位北京建工集团有限责任公司是该项目的施工总承包单位。2023年2月15日，本机关在现场检查时发现，你单位在该项目施工现场存在以下问题：1、施工现场基坑北侧一米以内（紧邻基坑）存放大量周转材料、构件等，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》DB11/945-2012第2.2.5条。2、配电室一级配电柜内引出的一路电缆采用四芯电缆，不符合《施工现场临时用电安全技术规范》JGJ46-2005第7.2.1条第一款。3、施工现场东侧塔吊开关箱中漏电保护器的额定漏电动作电流为75mA，不符合《施工现场临时用电安全技术规范》JGJ46-2005第8.2.10条第一款。上述行为违反了3条技术标准，且其中第2、3项问题违反了强制性条文，存在安全事故隐患。你单位已构成未严格按照建筑业安全作业标准进行施工，造成事故隐患，违法情节符合《北京市住房城乡建设系统行政处罚裁量基准》C1667000A020的规定。调查过程中未发现你单位有其他减轻、从轻或从重的违法情节。,《中华人民共和国建筑法》第七十一条第一款、《北京市建设工程施工现场管理办法》第三十一条以及《北京市住房城乡建设系统行政处罚裁量基准》C1667000A020,罚款,给予你单位处20000元罚款的行政处罚,2023-06-19,2025-06-19,北京市住房和城乡建设委员会
236,中国建筑土木建设有限公司,京建法罚（市）字[2023]第010338号,《中华人民共和国建筑法》第七十一条第一款、《北京市建设工程施工现场管理办法》第三十一条以及《北京市住房城乡建设系统行政处罚裁量基准》C1667000A010,"位于通州区潞城镇的中国人民大学通州新校区中心食堂项目，建设单位为中国人民大学，监理单位为北京帕克国际工程咨询股份有限公司，施工总承包单位为中国建筑第八工程局有限公司，你单位中国建筑土木建设有限公司为该工程基坑支护工程分包施工单位。2023年5月6日本机关现场检查时，你单位在该工程施工现场存在以下安全隐患：1.你单位在基坑西侧、南侧顶部设置的排水管道距离基坑边缘约为0.5m,不足1m,不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.2.5条“基坑周边1m范围内禁止堆物堆料，1m以外堆物堆料必须满足设计要求或专项方案规定”的要求；2.你单位在基坑北侧周边未设置挡水围堰，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.2.4条“基坑周边必须设置排水系统和设施，确保排水通畅。基坑周边必须设置挡水围堰”的要求。你单位中国建筑土木建设有限公司的上述行为违反2条技术标准，但不违反强制性条文，可能造成坍塌事故，存在安全事故隐患，属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。你单位的违法情节符合《北京市住房城乡建设系统行政处罚裁量基准》C1667000A010的规定情形，在调查过程中，未发现你单位有减轻、从轻或从重处罚的违法情节。",《中华人民共和国建筑法》第七十一条第一款、《北京市建设工程施工现场管理办法》第三十一条以及《北京市住房城乡建设系统行政处罚裁量基准》C1667000A010,罚款,给予你单位处5500元罚款的行政处罚。,2023-06-14,2024-06-14,北京市住房和城乡建设委员会
237,北京富利建筑工程有限公司,京建法罚（市）字[2022]第010651号,《中华人民共和国安全生产法》第九十七条第（一）项,本机关于2022年9月21日对你单位在位于北京市昌平区霍营街道黄平路207号的北京市昌平区2020年第二批老旧小区综合整治项目-霍营街道华龙苑中里小区（二标段）施工过程中涉嫌存在施工单位未按照规定配备专职安全生产管理人员的行为予以立案，开展调查。根据2022年2月21日对你单位法定代表人张宗新的询问，北京市住房和城乡建设委员会2023年3月31日听证报告，2023年5月6日对施工总承包单位委托代理人孙海磊和监理单位委托代理人巩海涛的询问，以及调取有关资料，查明：你单位是该工程20#-27#楼及垃圾楼外墙保温及涂料工程专业分包施工单位。工程开工至2022年8月18日，你单位在施工现场未配备专职安全生产管理人员，不符合《建筑施工企业安全生产管理机构设置及专职安全生产管理人员配备办法》（建质[2008]91号）第十四条第（一）项的要求。上述违法事实清楚，证据确实、充分。当事人对违法事实予以认可。未发现你单位有其他适用减轻、从轻或从重处罚的情形。,《中华人民共和国安全生产法》第九十七条第（一）项,罚款,给予北京富利建筑工程有限公司处75000元罚款,2023-06-13,2024-06-13,北京市住房和城乡建设委员会
238,北京住总建设安装工程有限责任公司,京建法罚（市）字[2023]第010266号,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A020,位于北京市朝阳区慈一居慈云寺50号楼的2020年老旧小区综合整治慈一居慈云寺50号楼楼本体改造施工项目的建设单位是北京市朝阳区人民政府八里庄街道办事处，监理单位是北京博建工程监理有限公司，你单位是该项目的总包施工单位。本机关于2023年3月21日现场检查时，发现你单位施工现场存在以下问题：1.该工程吊篮直接从分配电箱总断路器下口接电，未经过漏电保护器，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.10.4条的要求；2.施工现场未设置总配电箱，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第1.0.3条的要求；3.施工现场分配电箱内PE线绝缘颜色为黑色，未采用绿/黄双色，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第5.1.11条的要求；4.屋面吊篮供电电缆临时沿地明设，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第7.2.3条的要求。你单位存在的上述安全隐患总共违反了4条技术标准，其中包含3条强制性条文。你单位上述行为属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A020,罚款,给予北京住总建设安装工程有限责任公司处20000.00元罚款的行政处罚,2023-06-14,2025-06-14,北京市住房和城乡建设委员会
239,北京房修一建筑工程有限公司,京建法罚（市）字[2023]第010322号,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A010,北京市朝阳区东坝乡驹子房1106-720地块F1住宅混合公建用地、1106-721地块A33基础教育用地项目（2#地下车库、6#楼（幼儿园）-主楼等2项、7#楼（工人文化宫）、8#楼（商业）等3项）位于北京市朝阳区东坝乡驹子房，由你单位北京房修一建筑工程有限公司负责总承包施工。2023年5月1日现场检查时，发现总承包施工单位北京房修一建筑工程有限公司在施工现场存在以下问题：1.地下消防栓周围堆放材料，不符合周边3米内不得堆放材料要求，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第4.3.5条的要求；2.消防泵房内无值班记录，无专人管理，控制箱和一级配电柜在同一房内且通风不畅，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第4.3.9条的要求。上述行为违反了2条技术标准，未违反强制性条文，属于施工单位未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A010,罚款,给予你单位处5500.00元罚款的行政处罚,2023-06-19,2024-06-19,北京市住房和城乡建设委员会
240,北京远铭松科技发展有限公司,京建法罚（市）字[2023]第010268号,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A010,位于北京市朝阳区东坝乡的北京地铁 12 号线工程土建施工 25 合同段项目工程的的建设单位是北京市基础设施投资有限公司，施工单位是北京城建道桥建设集团有限公司，监理单位是中咨工程管理咨询有限公司，你单位是该项目机电安装专业分包单位。本机关于2023年4月6日现场检查时，发现你单位施工现场存在以下问题：1.运用库36-37 轴施工现场一个配电箱箱体破损严重，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第 2.10.8条的要求；2.运用库36-37轴施工现场一个配电箱未定期检查、维修，检查当日巡检日期停留在 2023 年3月7日，不符合《施工现场临时用电安全技术规范》(JGJ46-2005)第8.3.3条的要求；3.运用库 36-37 轴一处临时用电电缆线路沿地面明敷设，未采取可靠的保护措施，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.10.6条的要求；4.运用库B轴/64轴附属用房一个开关箱箱门缺失，未配锁，不符合《施工现场临时用电安全技术规范》(JGJ46-2005)第8.3.2条的要求。你单位存在的上述安全隐患总共违反了4条技术标准，未违反强制性条文。你单位上述行为属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A010,罚款,给予北京远铭松科技发展有限公司处5500.00元罚款的行政处罚,2023-06-14,2024-06-14,北京市住房和城乡建设委员会
241,北京圆壹家房地产经纪有限公司,京建法罚（市）字[2023]第010296号,《北京市住房租赁条例》第六十七条第（四）项以及《北京市住房城乡建设系统行政处罚裁量基准》C1672200B010,你单位北京圆壹家房地产经纪有限公司系房地产经纪机构，于2023年5月7日就北京市通州区古月佳园*号楼*单元***房屋与产权人杨**签订了《房屋出租委托登记表》，受出租人委托提供房屋租赁居间服务，委托期限自2023年5月7日起至委托服务事项办理完毕时止，上述《房屋出租委托登记表》系你单位就该房屋经纪服务事宜签订的房地产经纪合同。截至2023年5月18日本机关现场检查时，你单位该单业务从业人员侯**（北京市房地产经纪从业人员信息卡卡号为045****）仍未在上述《房屋出租委托登记表》上签字并注明从业人员信息卡卡号。你单位上述行为已构成未按规定实名从业，违反了《北京市住房租赁条例》第四十二条第一款的规定。依据《北京市住房租赁条例》第六十七条第（四）项的规定，本机关于2023年5月18日向你单位下达了编号为京建法改（市）字[2023]第010153号的《责令改正通知书》，责令你单位于2023年5月22日前改正该行为。2023年5月23日，经本机关现场复核，侯**已在上述《房屋出租委托登记表》上签字并注明从业人员信息卡卡号，复核合格。你单位已在规定期限内改正上述违法行为，且违法情节一般，符合《北京市住房城乡建设系统行政处罚裁量基准》C1672200B010的规定情形。在调查过程中未发现你单位有减轻、从轻或从重的违法情节。,《北京市住房租赁条例》第六十七条第（四）项以及《北京市住房城乡建设系统行政处罚裁量基准》C1672200B010,罚款,给予你单位处12500元罚款的行政处罚,2023-06-14,2023-12-14,北京市住房和城乡建设委员会
