序号,企业名称,申请事项,业务流水号,,,,,,,,,,,,,,,,,
160,北京市通州新兴装饰公司,(区)建筑业企业增项资质申请,0014181016000787,,,,,,,,,,,,,,,,,
161,北京春辉昌盛建筑劳务有限公司,建筑业企业首次申请资质,0014180606001377,,,,,,,,,,,,,,,,,
162,北京鑫义城建设项目管理咨询有限公司,工程造价咨询企业新设立资质申请,0014180919003130,,,,,,,,,,,,,,,,,
163,北京天力伟业设备起重搬运有限公司,建筑业企业新设立资质申请,0014180307000093,,,,,,,,,,,,,,,,,
164,中泰建工(北京)建筑工程有限公司,建筑业企业升级资质申请,0014190717002608,,,,,,,,,,,,,,,,,
165,北京赫屹劳务分包有限公司,建筑业企业首次申请资质,0014180503002273,,,,,,,,,,,,,,,,,
166,中海佳泰(北京)建设有限公司,建筑业企业首次申请资质,0014190531003164,,,,,,,,,,,,,,,,,
167,北京鸿运通生态科技有限公司,建筑业企业首次申请资质,0014180704001905,,,,,,,,,,,,,,,,,
168,北京中铁建北方路桥工程有限公司,建筑业企业升级资质申请,0014190703003930,,,,,,,,,,,,,,,,,
169,京泊兴盛建设工程(北京)有限公司,(市)建筑业企业首次申请资质,0014180621002814,,,,,,,,,,,,,,,,,
170,北京吉顺建筑工程有限公司,(市)建筑业企业资质增项资质申请,0014180705001580,,,,,,,,,,,,,,,,,
171,北京金秋腾达建筑工程有限公司,(区)建筑业企业首次申请资质,0014180925003250,,,,,,,,,,,,,,,,,
172,北京银实机电安装工程有限公司,(市)建筑业企业增项资质申请,0014190308000422,,,,,,,,,,,,,,,,,
173,北京粤川充裕建筑工程有限公司,建筑业企业首次申请资质,0014190703006933,,,,,,,,,,,,,,,,,
174,北京安邦新兴建设工程有限公司,(市)建筑业企业增项资质申请,0014181218001412,,,,,,,,,,,,,,,,,
175,北京百安伟业装饰工程有限公司,(市)建筑业企业首次申请资质,0014181105001743,,,,,,,,,,,,,,,,,
176,国建远洋建筑工程有限公司,(区)建筑业企业首次申请资质,0014180903003852,,,,,,,,,,,,,,,,,
177,北京昌立建筑工程有限公司,(区)建筑业企业首次申请资质,0014181220001583,,,,,,,,,,,,,,,,,
178,中船重工海鑫工程管理(北京)有限公司,工程监理企业新增项资质申请（包含丙级晋升乙级）,0014190422001284,,,,,,,,,,,,,,,,,
