id,搅拌站名称,混凝土企业注册地,zdszd,采集时间,更新状态,交换时间,统一社会信用代码
20,北京市高强混凝土有限责任公司第一搅拌站,北京市朝阳区高碑店乡小郊亭村1375号,朝阳区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,911101058011238795
21,北京卢沟桥质衡混凝土有限责任公司,北京市延庆区张山营镇康张路北口路西,延庆区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110229102187793Y
22,北京建工新型建材有限责任公司丰台建恒站,北京丰台区卢沟桥北路6号,丰台区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110000558557860W
23,北京市中超混凝土有限责任公司,北京市朝阳区定福庄北里1号,朝阳区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,9111011680260640XC
24,北京华国汇混凝土有限公司,北京市丰台区永合庄村6号,丰台区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,911101067454934363
25,北京鸿都混凝土有限公司,北京市房山区琉璃河镇立教村东京港澳高速路西侧300米,房山区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,9111010566842185XB
26,北京新奥混凝土集团有限公司,北京市朝阳区小红门乡三台山甲一号,朝阳区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110000740401010Q
27,北京市承顺成混凝土有限公司,北京市顺义区南法信镇东杜兰村委会南侧600米,顺义区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,9111011367382467XP
28,北京众和聚源混凝土有限公司,北京市延庆区延庆镇卓家营村,延庆区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110229744722305T
29,北京顺东混凝土有限公司,北京市顺义区仁和镇窑坡村西,顺义区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110113102518636C
30,北京庆成伟业混凝土搅拌有限公司,北京市房山区长阳镇阎仙垡村西南,房山区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,9111011177405562X1
31,北京冀东海强混凝土有限公司（资质异常，站点已拆除）,北京市通州区台湖镇桑元村北,通州区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110112740091403L
32,北京欣江峰建筑材料有限公司,北京市平谷区东高村镇赵家务村早鲍路1号,平谷区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110117683584198Y
