大学生创业企业信息,,,,,,,,,,,,,,,,,,,,,,,,,
序号,上板时间,公司全称,四板展示代码,,,,,,,,,,,,,,,,,,,,,,
138,2020/10/22,北京医食吾优文化有限公司,300138,,,,,,,,,,,,,,,,,,,,,,
139,2020/10/22,大生清风（北京）科技有限公司,300139,,,,,,,,,,,,,,,,,,,,,,
140,2020/10/22,北京西印文化传播有限公司,300140,,,,,,,,,,,,,,,,,,,,,,
141,2020/12/2,北京一纬三渡设计咨询有限公司,300141,,,,,,,,,,,,,,,,,,,,,,
142,2020/12/2,北京博雅合众环保科技有限公司,300142,,,,,,,,,,,,,,,,,,,,,,
143,2020/12/2,北京金宇宏达网络科技有限责任公司,300143,,,,,,,,,,,,,,,,,,,,,,
144,2020/12/2,北京康乐云生物科技有限公司,300144,,,,,,,,,,,,,,,,,,,,,,
145,2020/12/18,北京环亚广美展览有限公司,300145,,,,,,,,,,,,,,,,,,,,,,
146,2020/12/18,北京智云地音科技有限公司,300146,,,,,,,,,,,,,,,,,,,,,,
147,2020/12/18,玉案（北京）科技有限公司,300147,,,,,,,,,,,,,,,,,,,,,,
148,2021/4/9,北京道可道也教育科技有限公司,300148,,,,,,,,,,,,,,,,,,,,,,
149,2021/4/9,北京聚智合众科技有限公司,300149,,,,,,,,,,,,,,,,,,,,,,
150,2021/4/9,禧擎（北京）信息技术有限公司,300150,,,,,,,,,,,,,,,,,,,,,,
151,2021/4/30,北京成蹊未来文化传媒有限公司,300151,,,,,,,,,,,,,,,,,,,,,,
152,2021/4/30,弘润清源（北京）科技有限责任公司,300152,,,,,,,,,,,,,,,,,,,,,,
153,2021/4/30,北京洪流科技有限公司,300153,,,,,,,,,,,,,,,,,,,,,,
154,2021/6/18,北京众推行科技有限公司,300154,,,,,,,,,,,,,,,,,,,,,,
155,2021/6/18,北京方舟工坊教育科技有限公司,300155,,,,,,,,,,,,,,,,,,,,,,
156,2021/6/18,华电瑞源（北京）电气有限公司,300156,,,,,,,,,,,,,,,,,,,,,,
157,2021/6/18,稍麦智能科技（北京）有限公司,300157,,,,,,,,,,,,,,,,,,,,,,
158,2021/6/18,北京生万生物医药科技有限公司,300158,,,,,,,,,,,,,,,,,,,,,,
159,2021/6/18,北京百维海达智能科技有限公司,300159,,,,,,,,,,,,,,,,,,,,,,
160,2021/6/18,北京新锐创潮科技有限责任公司,300160,,,,,,,,,,,,,,,,,,,,,,
161,2021/6/18,北京天野华清科技有限公司,300161,,,,,,,,,,,,,,,,,,,,,,
162,2021/6/18,北京天骄慧通网络科技有限公司,300162,,,,,,,,,,,,,,,,,,,,,,
163,2021/6/18,北京外星人手科技有限责任公司,300163,,,,,,,,,,,,,,,,,,,,,,
164,2021/6/18,北京美华柏乐科技有限公司,300164,,,,,,,,,,,,,,,,,,,,,,
165,2021/6/21,北京心潜能教育科技有限公司,300165,,,,,,,,,,,,,,,,,,,,,,
166,2021/6/21,诺灵生物医药科技（北京）有限公司,300166,,,,,,,,,,,,,,,,,,,,,,
167,2021/6/21,北京直客通科技有限公司,300167,,,,,,,,,,,,,,,,,,,,,,
168,2021/6/21,星测未来科技（北京）有限责任公司,300168,,,,,,,,,,,,,,,,,,,,,,
169,2021/6/21,样叽科技（北京）有限公司,300169,,,,,,,,,,,,,,,,,,,,,,
170,2021/6/21,原子回声（北京）科技有限公司,300170,,,,,,,,,,,,,,,,,,,,,,
171,2021/6/21,北京红芸生物科技有限公司,300171,,,,,,,,,,,,,,,,,,,,,,
172,2021/6/21,北京沛然丰美科技有限责任公司,300172,,,,,,,,,,,,,,,,,,,,,,
173,2021/6/21,北京智慧思博科技有限公司,300173,,,,,,,,,,,,,,,,,,,,,,
174,2021/7/2,北京勤牛创智科技有限公司,300174,,,,,,,,,,,,,,,,,,,,,,
175,2021/7/2,北京牧水光年科技有限公司,300175,,,,,,,,,,,,,,,,,,,,,,
176,2021/7/28,北京拓境科技有限公司,300176,,,,,,,,,,,,,,,,,,,,,,
177,2021/7/28,拟象（北京）文化传媒有限公司,300177,,,,,,,,,,,,,,,,,,,,,,
178,2021/7/28,潮来（北京）设计咨询有限责任公司,300178,,,,,,,,,,,,,,,,,,,,,,
179,2021/7/28,优微智点（北京）生物科技有限公司,300179,,,,,,,,,,,,,,,,,,,,,,
180,2021/7/28,北京新锐翔通科技有限公司,300180,,,,,,,,,,,,,,,,,,,,,,
181,2021/7/28,北京赋乐科技有限公司,300181,,,,,,,,,,,,,,,,,,,,,,
182,2021/7/28,北京博易恒华科技有限公司,300182,,,,,,,,,,,,,,,,,,,,,,
183,2021/7/28,快跑国际教育科技（北京）有限责任公司,300183,,,,,,,,,,,,,,,,,,,,,,
184,2021/7/28,北京熠智科技有限公司,300184,,,,,,,,,,,,,,,,,,,,,,
185,2021/7/28,北京卫科信生物技术有限公司,300185,,,,,,,,,,,,,,,,,,,,,,
186,2021/8/3,北京零创众成科技有限公司,300186,,,,,,,,,,,,,,,,,,,,,,
187,2021/8/3,北京昇科能源科技有限责任公司,300187,,,,,,,,,,,,,,,,,,,,,,
188,2021/8/3,北京美利德科技有限公司,300188,,,,,,,,,,,,,,,,,,,,,,
189,2021/8/13,北京壹贰设计咨询有限责任公司,300189,,,,,,,,,,,,,,,,,,,,,,
190,2021/8/13,北京多艺华彩数字科技有限公司,300190,,,,,,,,,,,,,,,,,,,,,,
191,2021/8/13,北京八爪云科技有限公司,300191,,,,,,,,,,,,,,,,,,,,,,
192,2021/8/13,北京清辉联诺生物科技有限责任公司,300192,,,,,,,,,,,,,,,,,,,,,,
193,2021/8/16,北京电擎科技有限公司,300193,,,,,,,,,,,,,,,,,,,,,,
