企业或单位名称,纳税人识别号,经营地点,欠税金额,税种
北京世博元房地产开发有限公司,110228103015053,北京市密云县密云镇新南路21号,2155469.000,企业所得税
北京王府一号餐饮管理有限公司,11010158588527X,北京市东城区东长安街１０号长安俱乐部７０３室,51873.300,营业税
北京王府一号餐饮管理有限公司,11010158588527X,北京市东城区东长安街１０号长安俱乐部７０３室,8346.260,个人所得税
北京王府一号餐饮管理有限公司,11010158588527X,北京市东城区东长安街１０号长安俱乐部７０３室,3631.130,城建税
中商汇融资担保有限公司,110105690028405,北京市朝阳区延静里中街3号新建科研楼508-510,1678000.000,营业税
中商汇融资担保有限公司,110105690028405,北京市朝阳区延静里中街3号新建科研楼508-510,50340.000,教育费附加
中商汇融资担保有限公司,110105690028405,北京市朝阳区延静里中街3号新建科研楼508-510,117460.000,城建税
北京京宁国大科技发展有限责任公司,110105793436110,北京市朝阳区建国路管庄6号1号楼4层401室,1418648.580,房产税
北京京宁国大科技发展有限责任公司,110105793436110,北京市朝阳区建国路管庄6号1号楼4层401室,77865.000,土地使用税
北京京宁国大科技发展有限责任公司,110105793436110,北京市朝阳区建国路管庄6号1号楼4层401室,24165.000,土地使用税
北京京宁国大科技发展有限责任公司,110105793436110,北京市朝阳区建国路管庄6号1号楼4层401室,440270.250,房产税
国盛筑城（北京）工程技术服务有限公司,110106562066538,北京市丰台区右外开阳里5区4号楼三层328室（右安门企业集中办公区）,16917.080,企业所得税
北京渔民码头餐饮有限责任公司,110106697665562,北京市丰台区万丰路302号,38665.350,营业税
北京渔民码头餐饮有限责任公司,110106697665562,北京市丰台区万丰路302号,310057.380,房产税
北京渔民码头餐饮有限责任公司,110106697665562,北京市丰台区万丰路302号,139968.000,土地使用税
北京渔民码头餐饮有限责任公司,110106697665562,北京市丰台区万丰路302号,1159.950,教育费附加
北京渔民码头餐饮有限责任公司,110106697665562,北京市丰台区万丰路302号,2706.570,城建税
北京联拓奥通汽车贸易有限责任公司,110105802606776,北京市朝阳区姚家园路东口甲1号北京东方基业国际汽车城市场G区1号,28438.000,个人所得税
北京联拓奥通汽车贸易有限责任公司,110105802606776,北京市朝阳区姚家园路东口甲1号北京东方基业国际汽车城市场G区1号,6202.500,教育费附加
北京联拓奥通汽车贸易有限责任公司,110105802606776,北京市朝阳区姚家园路东口甲1号北京东方基业国际汽车城市场G区1号,401.400,印花税
北京联拓奥通汽车贸易有限责任公司,110105802606776,北京市朝阳区姚家园路东口甲1号北京东方基业国际汽车城市场G区1号,14472.510,城建税
天力（北京）实业有限公司,110105074105788,北京市朝阳区建国门外大街1号院1号楼57层03-05室,796315.250,个人所得税
北京九州隆华投资管理有限公司,110113669137463,北京海淀区杏石口路益园文创基地C区12号楼,982290.760,房产税
北京九州隆华投资管理有限公司,110113669137463,北京海淀区杏石口路益园文创基地C区12号楼,5094571.530,房产税
北京九州隆华投资管理有限公司,110113669137463,北京海淀区杏石口路益园文创基地C区12号楼,57331.800,土地使用税
北京岭峰纸制品有限责任公司,110111802733468,北京市房山区韩村河镇潘庄村,4681.310,房产税
北京岭峰纸制品有限责任公司,110111802733468,北京市房山区韩村河镇潘庄村,5.000,印花税
北京岭峰纸制品有限责任公司,110111802733468,北京市房山区韩村河镇潘庄村,3525.000,土地使用税
北京加州水郡国际体育休闲俱乐部有限公司,110111685769946,北京市房山区长阳镇公议庄村六区688号,839122.500,土地使用税
北京新忠记巍明建筑装饰工程有限公司,11022760005482X,北京市崇文区广渠门南小街领行国际1号楼2单元1001室,1157737.960,营业税
北京新忠记巍明建筑装饰工程有限公司,11022760005482X,北京市崇文区广渠门南小街领行国际1号楼2单元1001室,21357.880,城建税
昭仪新天地股份有限公司,110105746709286,北京市朝阳区建国路89号院7号楼L12,62764.280,城建税
昭仪新天地股份有限公司,110105746709286,北京市朝阳区建国路89号院7号楼L12,26898.980,教育费附加
北京辉煌净雅餐饮有限公司,110108777065698,北京市海淀区西翠路19号地下1层-3层；5层-7层,2650144.040,营业税
北京辉煌净雅餐饮有限公司,110108777065698,北京市海淀区西翠路19号地下1层-3层；5层-7层,79504.330,教育费附加
北京辉煌净雅餐饮有限公司,110108777065698,北京市海淀区西翠路19号地下1层-3层；5层-7层,20511.000,土地使用税
北京辉煌净雅餐饮有限公司,110108777065698,北京市海淀区西翠路19号地下1层-3层；5层-7层,2528236.820,房产税
北京辉煌净雅餐饮有限公司,110108777065698,北京市海淀区西翠路19号地下1层-3层；5层-7层,185510.090,城建税
北京萨尔利兹酒店管理有限公司海淀分公司,11010879406550X,海淀区中关村大街19号新中关大厦5层507室,95382.900,营业税
北京萨尔利兹酒店管理有限公司海淀分公司,11010879406550X,海淀区中关村大街19号新中关大厦5层507室,2861.480,教育费附加
北京萨尔利兹酒店管理有限公司海淀分公司,11010879406550X,海淀区中关村大街19号新中关大厦5层507室,30.510,个人所得税
北京萨尔利兹酒店管理有限公司海淀分公司,11010879406550X,海淀区中关村大街19号新中关大厦5层507室,6676.810,城建税
北京康泰正茂农业科技股份有限公司,110228593882853,,1575000.000,企业所得税
中国房地产开发北京有限公司,110108101122621,海淀区厂洼西街3号,493.150,营业税
中国房地产开发北京有限公司,110108101122621,海淀区厂洼西街3号,679662.030,房产税
中国房地产开发北京有限公司,110108101122621,海淀区厂洼西街3号,649.300,印花税
北京洪海商务会馆,110104755277382,北京市宣武区白纸坊西街19号,74.530,城建税
北京洪海商务会馆,110104755277382,北京市宣武区白纸坊西街19号,31.940,教育费附加
北京市高丽营建华门窗厂,110222102496545000,顺义县高丽营镇北,148734.770,企业所得税
北京市高丽营建华门窗厂,110222102496545000,顺义县高丽营镇北,4399.260,土地使用税
北京市顺义京华柴汽油供应站,11022210249657X000,顺义县高丽营镇,9280.470,城建税
北京市顺华毛纺织厂,110222102497046000,顺义县高丽营镇,175104.000,房产税
北京市顺华毛纺织厂,110222102497046000,顺义县高丽营镇,26400.000,土地使用税
北京市高丽营建华门窗安装队,110222102549192000,北京市顺义县高丽营镇七村北侧,43250.560,营业税
北京市高丽营建华门窗安装队,110222102549192000,北京市顺义县高丽营镇七村北侧,4806.730,城建税
北京市高丽营建华门窗安装队,110222102549192000,北京市顺义县高丽营镇七村北侧,50719.830,企业所得税
北京通顺发客运有限责任公司,110113102531902,北京市顺义区顺西路西侧（顺义区气象局）,22000.000,营业税
北京通顺发客运有限责任公司,110113102531902,北京市顺义区顺西路西侧（顺义区气象局）,864.000,企业所得税
北京通顺发客运有限责任公司,110113102531902,北京市顺义区顺西路西侧（顺义区气象局）,547.200,教育费附加
北京通顺发客运有限责任公司,110113102531902,北京市顺义区顺西路西侧（顺义区气象局）,2500.000,车船使用税
北京通顺发客运有限责任公司,110113102531902,北京市顺义区顺西路西侧（顺义区气象局）,1104.000,城建税
北京绿健康宝肉类加工厂,110222102520445,北京市顺义区龙湾屯镇柳庄户村,1036855.000,企业所得税
北京绿健康宝肉类加工厂,110222102520445,北京市顺义区龙湾屯镇柳庄户村,309555.000,房产税
北京绿健康宝肉类加工厂,110222102520445,北京市顺义区龙湾屯镇柳庄户村,20659.760,土地使用税
北京顺康电梯服务中心,11022210254528X000,北京市顺义县农机局院内,4102.140,营业税
北京顺康电梯服务中心,11022210254528X000,北京市顺义县农机局院内,609.960,城建税
北京顺康电梯服务中心,11022210254528X000,北京市顺义县农机局院内,40.000,印花税
北京顺康电梯服务中心,11022210254528X000,北京市顺义县农机局院内,20588.720,企业所得税
北京顺康电梯服务中心,11022210254528X000,北京市顺义县农机局院内,1570.670,城市集体服务事业费
北京顺康电梯服务中心,11022210254528X000,北京市顺义县农机局院内,326.870,教育费附加
北京聚福全饭店有限公司,110222102563787000,北京市顺义区卧龙环岛东南侧,1064342.060,营业税
北京聚福全饭店有限公司,110222102563787000,北京市顺义区卧龙环岛东南侧,53578.930,城建税
北京聚福全饭店有限公司,110222102563787000,北京市顺义区卧龙环岛东南侧,21481.500,文化事业建设费
