标称生产者信息,被抽样单位信息,产品信息,检验结果,主键,更新时间
北京百维森生物技术有限公司,北京百维森生物技术有限公司,"茶剂,固体饮料,片剂,其他特殊膳食食品,糖果,硬胶囊剂,硬胶囊剂,硬胶囊剂",完全合格,110114-2023-1-000874,26/10/2023 10:00:00
北京燕峰给水设备有限公司,北京燕峰给水设备有限公司,包装饮用水,完全合格,110114-2023-1-001808,26/10/2023 10:00:00
北京三元食品股份有限公司乳品四厂,北京三元食品股份有限公司乳品四厂,其他乳制品,完全合格,110114-2023-1-002724,24/11/2023 22:00:33
北京味多美食品科技有限责任公司,北京味多美食品科技有限责任公司,"饼干,冷加工糕点,热加工糕点,速冻面米食品",完全合格,110115-2022-1-000490,26/10/2023 10:00:00
广州南联航空食品有限公司北京分公司,广州南联航空食品有限公司北京分公司,"其他食品,热加工糕点,速冻调制食品,速冻面米食品",完全合格,110115-2022-1-000549,26/10/2023 10:00:00
北京市荣鑫源食品有限公司,北京市荣鑫源食品有限公司,糕点,完全合格,110115-2022-1-000739,26/10/2023 10:00:00
北京祥益斋科技发展有限公司,北京祥益斋科技发展有限公司,"冷加工糕点,蜜饯,其他方便食品,其他粮食加工品,热加工糕点",完全合格,110115-2022-1-000979,26/10/2023 10:00:00
北京康百世科技发展有限公司,北京康百世科技发展有限公司,其他方便食品,完全合格,110115-2022-1-001012,26/10/2023 10:00:00
北京优嘉食品有限公司,北京优嘉食品有限公司,"饼干,热加工糕点",完全合格,110115-2022-1-001045,26/10/2023 10:00:00
北京兴青红精细化学品科技有限公司,北京兴青红精细化学品科技有限公司,食品添加剂,完全合格,110115-2023-1-000044,26/10/2023 10:00:00
北京市雄飞百年食品厂,北京市雄飞百年食品厂,速冻面米食品,完全合格,110115-2023-1-000057,26/10/2023 10:00:00
北京盈聚工贸有限公司,北京盈聚工贸有限公司,"速冻调制食品,畜禽水产罐头",完全合格,110115-2023-1-000086,26/10/2023 10:00:00
北京京酿调味品有限公司,北京京酿调味品有限公司,"调味料,果蔬汁类及其饮料,酱油,食醋",完全合格,110115-2023-1-000111,26/10/2023 10:00:00
北京康百世科技发展有限公司,北京康百世科技发展有限公司,"其他方便食品,其他特殊膳食食品",完全合格,110115-2023-1-000123,26/10/2023 10:00:00
北京京都诚大食品有限公司,北京京都诚大食品有限公司,"冷冻水产制品,速冻调制食品,预制调理肉制品",完全合格,110115-2023-1-000149,26/10/2023 10:00:00
北京大兴国际机场航空食品有限公司,北京大兴国际机场航空食品有限公司,"其他食品,热加工糕点",完全合格,110115-2023-1-000584,26/10/2023 10:00:00
北京金凤成祥商贸有限公司,北京金凤成祥商贸有限公司,"饼干,冷加工糕点,热加工糕点,速冻面米食品",完全合格,110115-2023-1-001049,26/10/2023 10:00:00
悦琥烘焙食品（北京）有限公司,悦琥烘焙食品（北京）有限公司,"代可可脂巧克力及代可可脂巧克力制品,冷加工糕点,巧克力及巧克力制品,热加工糕点,食品馅料",完全合格,110115-2023-1-001094,26/10/2023 10:00:00
温育银芽（北京）蔬菜加工有限责任公司,温育银芽（北京）蔬菜加工有限责任公司,其他食品,完全合格,110115-2023-1-001116,26/10/2023 10:00:00
北冰洋（北京）饮料食品有限公司,北冰洋（北京）饮料食品有限公司,碳酸饮料(汽水),完全合格,110115-2023-1-001117,26/10/2023 10:00:00
北京三奇本草科技有限公司,北京三奇本草科技有限公司,"茶剂,茶剂,茶剂,茶剂,茶剂,代用茶,粉剂,粉剂,固体饮料,颗粒剂,颗粒剂,颗粒剂,颗粒剂,颗粒剂,颗粒剂,片剂,片剂,糖果,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂",完全合格,110115-2023-1-001290,26/10/2023 10:00:00
北京斯利安药业有限公司大兴分公司,北京斯利安药业有限公司大兴分公司,固体饮料,完全合格,110115-2023-1-001847,26/10/2023 10:00:00
北京康百世科技发展有限公司,北京康百世科技发展有限公司,"其他方便食品,其他特殊膳食食品",完全合格,110115-2023-1-001853,26/10/2023 10:00:00
北京蜜蜂堂生物医药股份有限公司,北京蜜蜂堂生物医药股份有限公司,"蜂产品制品,蜂花粉,蜂蜜,蜂王浆(含蜂王浆冻干品),固体饮料,片剂,其他剂型,软胶囊剂,软胶囊剂",完全合格,110115-2023-1-001865,26/10/2023 10:00:00
北京宜生源食品有限公司,北京宜生源食品有限公司,"调味料,酱腌菜,其他粮食加工品,热加工熟肉制品,速冻调制食品",完全合格,110115-2023-1-002098,3/11/2023 22:00:24
北京宜生源食品有限公司,北京宜生源食品有限公司,"调味料,酱腌菜,其他粮食加工品,热加工熟肉制品,速冻调制食品",完全合格,110115-2023-1-002117,3/11/2023 22:00:54
北京西餐食品有限公司,北京西餐食品有限公司,"调味料,发酵肉制品,非即食水产品,即食水产品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110116-2022-1-000097,26/10/2023 10:00:00
北京西餐食品有限公司,北京西餐食品有限公司,"调味料,发酵肉制品,非即食水产品,即食水产品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110116-2022-1-000131,26/10/2023 10:00:00
北京西餐食品有限公司,北京西餐食品有限公司,"调味料,发酵肉制品,非即食水产品,即食水产品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110116-2022-1-000135,26/10/2023 10:00:00
北京鑫正源农业发展有限公司,北京鑫正源农业发展有限公司,其它食品,完全合格,110116-2022-1-000261,26/10/2023 10:00:00
北京西餐食品有限公司,北京西餐食品有限公司,"调味料,发酵肉制品,非即食水产品,即食水产品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110116-2022-1-000278,26/10/2023 10:00:00
北京大地海腾工贸有限公司,北京大地海腾工贸有限公司,复配食品添加剂,完全合格,110116-2022-1-000287,26/10/2023 10:00:00
麦瑞生（北京）食品有限公司,麦瑞生（北京）食品有限公司,"热加工糕点,速冻面米食品",完全合格,110116-2022-1-000292,26/10/2023 10:00:00
北京西餐食品有限公司,北京西餐食品有限公司,"调味料,发酵肉制品,非即食水产品,即食水产品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110116-2022-1-000329,26/10/2023 10:00:00
北京鸿禧志业科技有限公司,北京鸿禧志业科技有限公司,"调味料,食品用香精",完全合格,110116-2022-1-000360,26/10/2023 10:00:00
北京济一堂保健食品有限公司,北京济一堂保健食品有限公司,"茶叶,代用茶,调味茶,其他方便食品",完全合格,110116-2022-1-000372,26/10/2023 10:00:00
北京西餐食品有限公司,北京西餐食品有限公司,"调味料,发酵肉制品,非即食水产品,即食水产品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110116-2022-1-000440,26/10/2023 10:00:00
北京富亿农板栗有限公司,北京富亿农板栗有限公司,"炒货食品及坚果制品,果蔬罐头,蜜饯,其他罐头,食品添加剂,薯类食品,水果制品,速冻调制食品,速冻其他食品",完全合格,110116-2022-1-000521,26/10/2023 10:00:00
北京西餐食品有限公司,北京西餐食品有限公司,"调味料,发酵肉制品,非即食水产品,即食水产品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110116-2022-1-000580,26/10/2023 10:00:00
北京西餐食品有限公司,北京西餐食品有限公司,"调味料,发酵肉制品,非即食水产品,即食水产品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110116-2022-1-000621,26/10/2023 10:00:00
妮坦亚（北京）健康科技发展有限公司,妮坦亚（北京）健康科技发展有限公司,复配食品添加剂,完全合格,110116-2022-1-000771,26/10/2023 10:00:00
北京鸿达乳品有限公司,北京鸿达乳品有限公司,"其他乳制品,液体乳",完全合格,110116-2022-1-000773,26/10/2023 10:00:00
北京红星股份有限公司,北京红星股份有限公司,"白酒,其他酒",完全合格,110116-2022-1-000819,26/10/2023 10:00:00
北京老记坊香油有限公司,北京老记坊香油有限公司,"炒货食品及坚果制品,调味料,食用植物油",完全合格,110117-2022-1-000561,26/10/2023 10:00:00
北京绿谷香源工贸有限公司,北京绿谷香源工贸有限公司,"调味料,食用植物油",完全合格,110117-2022-1-000595,26/10/2023 10:00:00
北京德丽可食品有限公司,北京德丽可食品有限公司,"蛋制品,调味料,其他罐头",完全合格,110117-2022-1-000724,26/10/2023 10:00:00
北京庆丰食品科技有限公司,北京庆丰食品科技有限公司,热加工熟肉制品,完全合格,110117-2022-1-000816,26/10/2023 10:00:00
北京壹号酒庄有限公司,北京壹号酒庄有限公司,"白酒,其他酒",完全合格,110117-2022-1-001187,26/10/2023 10:00:00
北京兴乐食品有限公司,北京兴乐食品有限公司,果蔬汁类及其饮料,完全合格,110117-2023-1-000012,26/10/2023 10:00:00
北京泰华食品饮料有限公司,北京泰华食品饮料有限公司,果蔬汁类及其饮料,完全合格,110117-2023-1-001911,27/10/2023 22:00:21
北京壹号酒庄有限公司,北京壹号酒庄有限公司,"白酒,其他酒",完全合格,110117-2023-1-001970,30/10/2023 22:00:29
北京美滋乐源食品有限公司,北京美滋乐源食品有限公司,固体饮料,完全合格,110117-2023-1-002190,6/11/2023 22:00:14
北京惠康伟业食品有限公司,北京惠康伟业食品有限公司,糖果,完全合格,110117-2023-1-002656,23/11/2023 22:00:39
北京不老保健饮料有限公司,北京不老保健饮料有限公司,瓶(桶)装饮用水,完全合格,110228-2022-1-000518,26/10/2023 10:00:00
北京葛森新谷生物科技发展有限公司,北京葛森新谷生物科技发展有限公司,"焙炒咖啡,茶叶,炒货食品及坚果制品,固体饮料",完全合格,110228-2022-1-000538,26/10/2023 10:00:00
北京香福圣禾食品有限公司,北京香福圣禾食品有限公司,"热加工熟肉制品,速冻调制食品",完全合格,110228-2022-1-000608,26/10/2023 10:00:00
北京味多美食品科技有限责任公司,北京味多美食品科技有限责任公司,"饼干,冷加工糕点,热加工糕点,速冻面米食品",完全合格,110115-2022-1-000480,26/10/2023 10:00:00
悦琥烘焙食品（北京）有限公司,悦琥烘焙食品（北京）有限公司,"代可可脂巧克力及代可可脂巧克力制品,冷加工糕点,巧克力及巧克力制品,热加工糕点,食品馅料",完全合格,110115-2022-1-000492,26/10/2023 10:00:00
北京展览馆集团有限公司莫斯科食品厂,北京展览馆集团有限公司莫斯科食品厂,糕点,完全合格,110115-2022-1-000703,26/10/2023 10:00:00
百事食品（中国）有限公司北京桂格分厂,百事食品（中国）有限公司北京桂格分厂,膨化食品,完全合格,110115-2022-1-000790,26/10/2023 10:00:00
北京三奇本草科技有限公司,北京三奇本草科技有限公司,"茶剂,茶剂,茶剂,茶剂,茶剂,代用茶,粉剂,粉剂,固体饮料,颗粒剂,颗粒剂,颗粒剂,颗粒剂,颗粒剂,颗粒剂,片剂,片剂,糖果,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂",完全合格,110115-2022-1-001016,26/10/2023 10:00:00
北京百嘉宜食品有限公司,北京百嘉宜食品有限公司,"冷加工糕点,热加工糕点,速冻面米食品",完全合格,110115-2022-1-001094,26/10/2023 10:00:00
北京澜溪轩茶文化交流有限公司,北京澜溪轩茶文化交流有限公司,茶叶,完全合格,110115-2022-1-001111,26/10/2023 10:00:00
北京市裕农优质农产品种植有限公司大兴分公司,北京市裕农优质农产品种植有限公司大兴分公司,"调味料,其他食品",完全合格,110115-2023-1-000013,26/10/2023 10:00:00
北京市裕农优质农产品种植有限公司大兴分公司,北京市裕农优质农产品种植有限公司大兴分公司,"调味料,其他食品",完全合格,110115-2023-1-000024,26/10/2023 10:00:00
北京金凤成祥商贸有限公司,北京金凤成祥商贸有限公司,"饼干,冷加工糕点,热加工糕点,速冻面米食品",完全合格,110115-2023-1-000062,26/10/2023 10:00:00
北京胖仔调味食品有限公司,北京胖仔调味食品有限公司,调味料,完全合格,110115-2023-1-000112,26/10/2023 10:00:00
北京教益斋清真食品有限责任公司,北京教益斋清真食品有限责任公司,"非即食水产品,热加工熟肉制品",完全合格,110115-2023-1-000119,26/10/2023 10:00:00
北京天天通食品有限公司,北京天天通食品有限公司,调味料,完全合格,110115-2023-1-000120,26/10/2023 10:00:00
北京康力达食品有限责任公司,北京康力达食品有限责任公司,"淀粉及淀粉制品,调味料,糖",完全合格,110115-2023-1-000124,26/10/2023 10:00:00
北京同仁堂健康药业股份有限公司食品分公司,北京同仁堂健康药业股份有限公司食品分公司,"非即食水产品,固体饮料,其他罐头,糖果",完全合格,110115-2023-1-000147,26/10/2023 10:00:00
北京大东老曹食品有限公司,北京大东老曹食品有限公司,热加工熟肉制品,完全合格,110115-2023-1-000150,26/10/2023 10:00:00
北京市美丹食品有限公司,北京市美丹食品有限公司,"饼干,冷加工糕点,膨化食品,其他方便食品,热加工糕点",完全合格,110115-2023-1-000171,26/10/2023 10:00:00
北京和润乳制品厂,北京和润乳制品厂,"蛋白饮料,其他乳制品,液体乳",完全合格,110115-2023-1-000184,26/10/2023 10:00:00
北京康普斯食品配料有限公司,北京康普斯食品配料有限公司,复配食品添加剂,完全合格,110115-2023-1-000204,26/10/2023 10:00:00
北京德纪食品有限公司,北京德纪食品有限公司,"蛋制品,其他食品,热加工熟肉制品",完全合格,110115-2023-1-000205,26/10/2023 10:00:00
北京京茂香源科技发展有限公司,北京京茂香源科技发展有限公司,"调味料,食用植物油",完全合格,110115-2023-1-000212,26/10/2023 10:00:00
北京一手店食品有限公司,北京一手店食品有限公司,"炒货食品及坚果制品,蛋制品,即食水产品,酱腌菜,冷加工糕点,其他食品,其他蔬菜制品,热加工糕点,热加工熟肉制品,食用菌制品,速冻面米食品",完全合格,110115-2023-1-001053,26/10/2023 10:00:00
百事食品（中国）有限公司北京桂格分厂,百事食品（中国）有限公司北京桂格分厂,膨化食品,完全合格,110115-2023-1-001078,26/10/2023 10:00:00
呷哺呷哺餐饮管理有限公司,呷哺呷哺餐饮管理有限公司,调味料,完全合格,110115-2023-1-001080,26/10/2023 10:00:00
北京大东老曹食品有限公司,北京大东老曹食品有限公司,"蛋制品,热加工熟肉制品",完全合格,110115-2023-1-001087,26/10/2023 10:00:00
北京和润乳制品厂,北京和润乳制品厂,"蛋白饮料,其他乳制品,液体乳",完全合格,110115-2023-1-001106,26/10/2023 10:00:00
温育银芽（北京）蔬菜加工有限责任公司,温育银芽（北京）蔬菜加工有限责任公司,其他食品,完全合格,110115-2023-1-001111,26/10/2023 10:00:00
北京蜜蜂堂生物医药股份有限公司,北京蜜蜂堂生物医药股份有限公司,"蜂产品制品,蜂花粉,蜂蜜,蜂王浆(含蜂王浆冻干品),固体饮料,片剂,其他剂型,软胶囊剂,软胶囊剂",完全合格,110115-2023-1-001284,26/10/2023 10:00:00
北京同仁堂健康药业股份有限公司食品分公司,北京同仁堂健康药业股份有限公司食品分公司,"非即食水产品,固体饮料,其他罐头,糖果",完全合格,110115-2023-1-001291,26/10/2023 10:00:00
北京北冰洋冷冻食品有限公司,北京北冰洋冷冻食品有限公司,冷冻饮品,完全合格,110115-2023-1-001368,26/10/2023 10:00:00
北京二锅头酒业股份有限公司,北京二锅头酒业股份有限公司,"白酒,调味料",本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110115-2023-1-001922,27/10/2023 22:00:31
北京兴青红精细化学品科技有限公司,北京兴青红精细化学品科技有限公司,食品添加剂,完全合格,110115-2023-1-002079,2/11/2023 22:01:38
北京宜生源食品有限公司,北京宜生源食品有限公司,"调味料,酱腌菜,其他粮食加工品,热加工熟肉制品,速冻调制食品",完全合格,110115-2023-1-002110,3/11/2023 22:00:43
北京森淼唯实工贸有限公司,北京森淼唯实工贸有限公司,瓶(桶)装饮用水,完全合格,110116-2022-1-000096,26/10/2023 10:00:00
北京栗乡园食品有限公司,北京栗乡园食品有限公司,热加工熟肉制品,完全合格,110116-2022-1-000258,26/10/2023 10:00:00
北京西餐食品有限公司,北京西餐食品有限公司,"调味料,发酵肉制品,非即食水产品,即食水产品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110116-2022-1-000270,26/10/2023 10:00:00
国科堂（北京）健康科技股份有限公司,国科堂（北京）健康科技股份有限公司,"固体饮料,糖果",完全合格,110116-2022-1-000295,26/10/2023 10:00:00
北京西餐食品有限公司,北京西餐食品有限公司,"调味料,发酵肉制品,非即食水产品,即食水产品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110116-2022-1-000338,26/10/2023 10:00:00
北京华北富田饮品有限公司,北京华北富田饮品有限公司,"茶(类)饮料,果蔬汁类及其饮料,其他饮料",完全合格,110116-2022-1-000395,26/10/2023 10:00:00
百仕欣饮料（北京）有限公司,百仕欣饮料（北京）有限公司,果蔬汁类及其饮料,完全合格,110116-2022-1-000399,26/10/2023 10:00:00
杜邦营养食品配料（北京）有限公司,杜邦营养食品配料（北京）有限公司,"粉剂,粉剂,粉剂,固体饮料,其他食品",完全合格,110116-2022-1-000400,26/10/2023 10:00:00
北京京城一脉饮品有限公司,北京京城一脉饮品有限公司,瓶(桶)装饮用水,完全合格,110228-2023-1-000663,26/10/2023 10:00:00
北京张裕爱斐堡国际酒庄有限公司,北京张裕爱斐堡国际酒庄有限公司,葡萄酒及果酒,完全合格,110228-2023-1-000665,26/10/2023 10:00:00
北京金禾绿源农业科技有限公司,北京金禾绿源农业科技有限公司,"炒货食品及坚果制品,大米,其他粮食加工品,食用菌制品,蔬菜干制品,水果制品",完全合格,110228-2023-1-001162,26/10/2023 10:00:00
北京荣盛祥和食品有限公司,北京荣盛祥和食品有限公司,热加工熟肉制品,完全合格,110228-2023-1-001673,26/10/2023 10:00:00
北京名都酒业有限公司,北京名都酒业有限公司,白酒,完全合格,110228-2023-1-001699,26/10/2023 10:00:00
北京超群明明食品有限公司,北京超群明明食品有限公司,"冷加工糕点,热加工糕点",完全合格,110228-2023-1-001857,26/10/2023 10:00:00
北京京通黄酒有限公司,北京京通黄酒有限公司,黄酒,完全合格,110228-2023-1-002334,14/11/2023 22:00:33
北京格力森酒业有限公司,北京格力森酒业有限公司,"啤酒,其他食品",完全合格,110228-2023-1-002369,14/11/2023 22:01:40
北京汇源九龙沟绿色生态农业有限责任公司,北京汇源九龙沟绿色生态农业有限责任公司,果蔬汁类及其饮料,完全合格,110228-2023-1-002388,14/11/2023 22:01:52
彩盛咖啡茶（北京）有限公司,彩盛咖啡茶（北京）有限公司,"焙炒咖啡,茶叶,代用茶,调味茶",完全合格,110228-2023-1-002426,14/11/2023 22:02:05
北京夏都妫源豆制品技术开发有限公司,北京夏都妫源豆制品技术开发有限公司,豆制品,完全合格,110229-2022-1-000940,26/10/2023 10:00:00
北京市八达岭酿酒公司,北京市八达岭酿酒公司,白酒,完全合格,110229-2022-1-001057,26/10/2023 10:00:00
金果园老农（北京）食品股份有限公司,金果园老农（北京）食品股份有限公司,"炒货食品及坚果制品,调味料,蜜饯,水果制品",完全合格,110229-2023-1-001863,26/10/2023 22:01:00
普莱克斯（北京）半导体气体有限公司,普莱克斯（北京）半导体气体有限公司,食品添加剂,完全合格,110302-2022-1-000072,26/10/2023 10:00:00
爱瑞宝（北京）生物科技有限公司,爱瑞宝（北京）生物科技有限公司,"茶(类)饮料,炒货食品及坚果制品,蜂蜜,固体饮料,果蔬汁类及其饮料,口服液,蜜饯,其他饮料,水果制品,糖果",完全合格,110302-2023-1-001830,26/10/2023 22:00:45
北京嘉瑞富德食品科技有限公司,北京嘉瑞富德食品科技有限公司,复配食品添加剂,完全合格,110302-2023-1-001903,27/10/2023 22:00:11
嘉康利（中国）日用品有限公司,嘉康利（中国）日用品有限公司,"固体饮料,果蔬汁类及其饮料,片剂,片剂,片剂,片剂,硬胶囊剂",完全合格,110302-2023-1-001917,27/10/2023 22:00:28
欧瑞莲保健食品（北京）有限公司,欧瑞莲保健食品（北京）有限公司,"固体饮料,片剂,片剂,片剂,片剂,片剂,片剂,其他方便食品,软胶囊剂,软胶囊剂,硬胶囊剂,硬胶囊剂,硬胶囊剂",完全合格,110302-2023-1-001920,27/10/2023 22:00:29
彩盛咖啡茶（北京）有限公司,彩盛咖啡茶（北京）有限公司,"焙炒咖啡,茶叶,代用茶,调味茶",完全合格,110228-2023-1-002343,14/11/2023 22:00:57
北京东邵渠食品厂,北京东邵渠食品厂,"炒货食品及坚果制品,蜜饯,其他粮食加工品,食用菌制品,水果制品",完全合格,110228-2023-1-002347,14/11/2023 22:01:09
北京汇源九龙沟绿色生态农业有限责任公司,北京汇源九龙沟绿色生态农业有限责任公司,果蔬汁类及其饮料,完全合格,110228-2023-1-002401,14/11/2023 22:01:57
豆果乐园（北京）食品有限公司,豆果乐园（北京）食品有限公司,炒货食品及坚果制品,完全合格,110228-2023-1-002432,14/11/2023 22:02:07
北京庆和食品有限责任公司,北京庆和食品有限责任公司,豆制品,完全合格,110229-2022-1-000540,26/10/2023 10:00:00
北京庆和食品有限责任公司,北京庆和食品有限责任公司,豆制品,本次检查发现不符合项（1）项，其中：重点项（0）项，项目序号分别是（）；一般项（1）项，项目序号分别是（7.2）。,110229-2022-1-000941,26/10/2023 10:00:00
北京永宁八达岭酒业(集团)股份有限公司,北京永宁八达岭酒业(集团)股份有限公司,"白酒,其他酒",完全合格,110229-2022-1-001037,26/10/2023 10:00:00
北京归原生态农业发展有限公司,北京归原生态农业发展有限公司,液体乳,完全合格,110229-2023-1-001425,26/10/2023 10:00:00
北京面香村食品加工厂,北京面香村食品加工厂,热加工糕点,完全合格,110229-2023-1-001604,26/10/2023 10:00:00
北京御德堂伊德诚清真食品有限公司,北京御德堂伊德诚清真食品有限公司,"冷冻水产制品,预制调理肉制品",本次检查发现不符合项（1）项，其中：重点项（0）项，项目序号分别是（）；一般项（1）项，项目序号分别是（10.1）。,110117-2023-1-001821,26/10/2023 10:00:00
北京大众康乐食品有限公司,北京大众康乐食品有限公司,"饼干,代可可脂巧克力及代可可脂巧克力制品,冷加工糕点,热加工糕点,糖果",完全合格,110117-2023-1-001964,30/10/2023 22:00:25
北京旺洋食品有限公司,北京旺洋食品有限公司,其他食品,完全合格,110117-2023-1-002682,22/11/2023 22:04:29
北京世纪京纯蜂产品有限责任公司,北京世纪京纯蜂产品有限责任公司,"蜂蜜,蜂王浆(含蜂王浆冻干品)",完全合格,110228-2022-1-000845,26/10/2023 10:00:00
北京世纪京纯蜂产品有限责任公司,北京世纪京纯蜂产品有限责任公司,"蜂蜜,蜂王浆(含蜂王浆冻干品)",完全合格,110228-2023-1-000178,26/10/2023 10:00:00
北京金禾绿源农业科技有限公司,北京金禾绿源农业科技有限公司,"炒货食品及坚果制品,大米,其他粮食加工品,食用菌制品,蔬菜干制品,水果制品",完全合格,110228-2023-1-000196,26/10/2023 10:00:00
豆果乐园（北京）食品有限公司,豆果乐园（北京）食品有限公司,炒货食品及坚果制品,完全合格,110228-2023-1-000330,26/10/2023 10:00:00
北京山口饮料有限公司,北京山口饮料有限公司,包装饮用水,完全合格,110228-2023-1-000361,26/10/2023 10:00:00
彩盛咖啡茶（北京）有限公司,彩盛咖啡茶（北京）有限公司,"焙炒咖啡,茶叶,代用茶,调味茶",完全合格,110228-2023-1-000551,26/10/2023 10:00:00
北京佰味奇食品厂,北京佰味奇食品厂,热加工糕点,完全合格,110228-2023-1-001164,26/10/2023 10:00:00
北京天福号生态科技有限公司,北京天福号生态科技有限公司,"发酵肉制品,腌腊肉制品",完全合格,110228-2023-1-001631,26/10/2023 10:00:00
北京京城一脉饮品有限公司,北京京城一脉饮品有限公司,瓶(桶)装饮用水,完全合格,110228-2023-1-001672,26/10/2023 10:00:00
北京龙潭食品有限公司,北京龙潭食品有限公司,方便面,完全合格,110228-2023-1-002333,14/11/2023 22:00:29
北京荣盛祥和食品有限公司,北京荣盛祥和食品有限公司,热加工熟肉制品,完全合格,110228-2023-1-002679,22/11/2023 22:04:24
北京名都酒业有限公司,北京名都酒业有限公司,白酒,完全合格,110228-2023-1-003011,6/12/2023 22:00:03
北京维他科技有限公司,北京维他科技有限公司,食品添加剂,完全合格,110229-2022-1-000929,26/10/2023 10:00:00
北京面香村食品加工厂,北京面香村食品加工厂,热加工糕点,完全合格,110229-2022-1-000983,26/10/2023 10:00:00
北京环绕东方农业科技有限公司,北京环绕东方农业科技有限公司,食用植物油,完全合格,110229-2022-1-001206,26/10/2023 10:00:00
北京莲花山蜂产品专业合作社,北京莲花山蜂产品专业合作社,蜂蜜,完全合格,110229-2022-1-001209,26/10/2023 10:00:00
北京归原生态农业发展有限公司,北京归原生态农业发展有限公司,液体乳,完全合格,110229-2023-1-001532,26/10/2023 10:00:00
同方药业集团有限公司,同方药业集团有限公司,"固体饮料,糖果",完全合格,110229-2023-1-002423,14/11/2023 22:02:04
亿滋食品（北京）有限公司,亿滋食品（北京）有限公司,"饼干,代可可脂巧克力及代可可脂巧克力制品,冷加工糕点,膨化食品",完全合格,110302-2022-1-000920,26/10/2023 10:00:00
北京统实饮品有限公司,北京统实饮品有限公司,"茶(类)饮料,果蔬汁类及其饮料,其他饮料",完全合格,110116-2022-1-000289,26/10/2023 10:00:00
北京西餐食品有限公司,北京西餐食品有限公司,"调味料,发酵肉制品,非即食水产品,即食水产品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110116-2022-1-000320,26/10/2023 10:00:00
北京西餐食品有限公司,北京西餐食品有限公司,"调味料,发酵肉制品,非即食水产品,即食水产品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110116-2022-1-000325,26/10/2023 10:00:00
北京兴亨九益食品有限公司,北京兴亨九益食品有限公司,酱腌菜,完全合格,110116-2022-1-000422,26/10/2023 10:00:00
北京西餐食品有限公司,北京西餐食品有限公司,"调味料,发酵肉制品,非即食水产品,即食水产品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110116-2022-1-000579,26/10/2023 10:00:00
北京中富热灌装容器有限公司,北京中富热灌装容器有限公司,瓶(桶)装饮用水,完全合格,110116-2022-1-000888,26/10/2023 10:00:00
阿拉比卡咖啡（北京）有限公司,阿拉比卡咖啡（北京）有限公司,焙炒咖啡,完全合格,110117-2022-1-000512,26/10/2023 10:00:00
北京挂甲峪酒业有限公司,北京挂甲峪酒业有限公司,"葡萄酒及果酒,其他酒",完全合格,110117-2022-1-000557,26/10/2023 10:00:00
北京劲得健康科技有限公司,北京劲得健康科技有限公司,"粉剂,粉剂,固体饮料,颗粒剂,颗粒剂,片剂,片剂,片剂,片剂,片剂,片剂,片剂,片剂,片剂,片剂,糖果,硬胶囊剂,硬胶囊剂,硬胶囊剂",完全合格,110117-2022-1-000602,26/10/2023 10:00:00
北京德丽可食品有限公司,北京德丽可食品有限公司,"蛋制品,调味料,其他罐头",完全合格,110117-2022-1-000695,26/10/2023 10:00:00
北京沛时特医食品科技有限公司,北京沛时特医食品科技有限公司,果蔬汁类及其饮料,完全合格,110117-2022-1-000811,26/10/2023 10:00:00
北京五兴食品科技有限公司,北京五兴食品科技有限公司,调味料,本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110117-2022-1-001056,26/10/2023 10:00:00
北京老记坊香油有限公司,北京老记坊香油有限公司,"炒货食品及坚果制品,调味料,食用植物油",完全合格,110117-2022-1-001186,26/10/2023 10:00:00
