标称生产者信息,被抽样单位信息,产品信息,检验结果,主键,更新时间
北京陆美食品有限公司,北京陆美食品有限公司,"蛋制品,调味料,即食水产品,其他方便食品,其他食品,热加工糕点,热加工熟肉制品",完全合格,110113-2023-1-002505,16/11/2023 22:01:36
北京红儿红酒业有限公司,北京红儿红酒业有限公司,黄酒,本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110113-2023-1-002506,16/11/2023 22:01:39
北京金众源食品有限公司,北京金众源食品有限公司,"淀粉及淀粉制品,调味料,干制水产品,食用菌制品,糖",完全合格,110113-2023-1-002644,21/11/2023 22:01:57
点食诚心食品（北京）有限公司,点食诚心食品（北京）有限公司,"冷加工糕点,热加工糕点,速冻面米食品",完全合格,110113-2023-1-002796,27/11/2023 22:01:08
嘉吉亚太食品系统（北京）有限公司,嘉吉亚太食品系统（北京）有限公司,"调味料,复配食品添加剂,其他食品,食品添加剂",完全合格,110114-2022-1-000256,26/10/2023 10:00:00
北京万事食品有限公司,北京万事食品有限公司,"茶(类)饮料,调味料,固体饮料,果蔬汁类及其饮料,冷冻饮品,瓶(桶)装饮用水,其他饮料",完全合格,110114-2022-1-000782,26/10/2023 10:00:00
北京智昊食品有限责任公司,北京智昊食品有限责任公司,肉制品,完全合格,110114-2023-1-000861,26/10/2023 10:00:00
北京康比特体育科技股份有限公司,北京康比特体育科技股份有限公司,"炒货食品及坚果制品,代可可脂巧克力及代可可脂巧克力制品,粉剂,固体饮料,固体饮料,冷加工糕点,片剂,片剂,其他方便食品,其他方便食品,其他特殊膳食食品,其他特殊膳食食品,巧克力及巧克力制品,糖果,糖果,硬胶囊剂,硬胶囊剂",完全合格,110114-2023-1-000863,26/10/2023 10:00:00
北大荒食品集团北京食品有限公司,北大荒食品集团北京食品有限公司,大米,完全合格,110114-2023-1-000875,26/10/2023 10:00:00
北京吴裕泰茶业股份有限公司配送中心,北京吴裕泰茶业股份有限公司配送中心,"茶叶,代用茶",完全合格,110114-2023-1-001610,26/10/2023 10:00:00
